id,m_cf1,m_cf2,m_cf3
368,0.74,4.3,2.25
369,0.66,3.54,2.38
370,0.58,3.18,2.5
371,0.51,2.89,2.6
372,0.44,2.65,2.67
373,0.37,2.43,2.7
374,0.3,2.22,2.67
375,0.23,2.04,2.6
376,0.41,0.58,2.78
377,0.47,0.7,2.96
378,0.54,0.83,3.11
379,0.61,0.96,3.17
380,0.68,1.09,3.11
381,0.75,1.23,2.96
382,0.81,1.38,2.78
383,0.87,1.53,2.6
384,0.92,1.69,2.43
385,0.95,1.85,2.26
386,0.96,2.02,2.11
387,0.96,2.21,1.95
388,0.95,2.4,1.81
389,0.92,2.62,1.67
390,0.87,2.85,1.78
391,0.81,3.11,1.9
392,0.75,3.38,2.02
393,0.68,3.54,2.14
394,0.61,3.38,2.25
395,0.54,3.11,2.35
396,0.47,2.85,2.43
397,0.41,2.62,2.48
398,0.34,2.4,2.5
399,0.28,2.21,2.48
400,0.21,2.02,2.43
401,0.37,0.57,2.65
402,0.43,0.69,2.78
403,0.5,0.81,2.88
404,0.56,0.94,2.92
405,0.62,1.08,2.88
406,0.68,1.22,2.78
407,0.74,1.36,2.65
408,0.78,1.51,2.5
409,0.82,1.66,2.35
410,0.84,1.82,2.2
411,0.85,1.99,2.05
412,0.85,2.16,1.91
413,0.84,2.35,1.77
414,0.82,2.54,1.63
415,0.78,2.74,1.7
416,0.74,2.94,1.81
417,0.68,3.11,1.92
418,0.62,3.18,2.02
419,0.56,3.11,2.12
420,0.5,2.94,2.2
421,0.43,2.74,2.26
422,0.37,2.54,2.31
423,0.31,2.35,2.32
424,0.25,2.16,2.31
425,0.18,1.99,2.26
426,0.33,0.55,2.5
427,0.39,0.67,2.6
428,0.45,0.79,2.67
429,0.51,0.92,2.7
430,0.56,1.05,2.67
431,0.61,1.19,2.6
432,0.66,1.33,2.5
433,0.7,1.47,2.38
434,0.73,1.62,2.25
435,0.75,1.77,2.12
436,0.76,1.93,1.98
437,0.76,2.09,1.85
438,0.75,2.26,1.72
439,0.73,2.43,1.59
440,0.7,2.59,1.61
441,0.66,2.74,1.71
442,0.61,2.85,1.81
443,0.56,2.89,1.9
444,0.51,2.85,1.98
445,0.45,2.74,2.05
446,0.39,2.59,2.11
447,0.33,2.43,2.14
448,0.27,2.26,2.15
449,0.21,2.09,2.14
450,0.16,1.93,2.11
451,0.29,0.52,2.35
452,0.34,0.64,2.43
453,0.4,0.76,2.48
454,0.45,0.89,2.5
455,0.5,1.02,2.48
456,0.54,1.15,2.43
457,0.58,1.28,2.35
458,0.62,1.42,2.25
459,0.64,1.56,2.14
460,0.66,1.7,2.02
461,0.67,1.85,1.9
462,0.67,2.0,1.78
463,0.66,2.15,1.65
464,0.64,2.29,1.53
465,0.62,2.43,1.51
466,0.58,2.54,1.61
467,0.54,2.62,1.7
468,0.5,2.65,1.78
469,0.45,2.62,1.85
470,0.4,2.54,1.91
471,0.34,2.43,1.95
472,0.29,2.29,1.98
473,0.23,2.15,1.99
474,0.18,2.0,1.98
475,0.12,1.85,1.95
476,0.24,0.49,2.2
477,0.29,0.61,2.26
478,0.34,0.73,2.31
479,0.39,0.85,2.32
480,0.43,0.97,2.31
481,0.47,1.1,2.26
482,0.51,1.23,2.2
483,0.54,1.36,2.12
484,0.56,1.49,2.02
485,0.57,1.63,1.92
486,0.58,1.76,1.81
487,0.58,1.89,1.7
488,0.57,2.02,1.58
489,0.56,2.15,1.47
490,0.54,2.26,1.42
491,0.51,2.35,1.5
492,0.47,2.4,1.58
493,0.43,2.43,1.65
494,0.39,2.4,1.72
495,0.34,2.35,1.77
496,0.29,2.26,1.81
497,0.24,2.15,1.83
498,0.19,2.02,1.84
499,0.14,1.89,1.83
500,0.09,1.76,1.81
