id,m_cf1,m_cf2,m_cf3,m_cf4,m_cf5
55,5.6,3.37,8.06,13.23,14.12
56,6.09,3.74,8.47,15.61,14.77
57,6.52,4.1,8.79,17.72,15.42
58,6.9,4.43,9.04,19.84,16.08
59,7.28,4.79,9.26,21.96,16.73
60,7.55,5.05,9.4,23.81,17.39
61,7.77,5.28,9.5,25.66,18.04
62,7.83,5.34,9.53,27.25,18.69
63,7.77,5.28,9.5,28.57,19.35
64,7.55,5.05,9.4,29.89,20.0
65,7.28,4.79,9.26,30.69,19.35
66,6.9,4.43,9.04,31.22,18.69
67,6.52,4.1,8.79,31.48,18.04
68,6.09,3.74,8.47,31.22,17.39
69,5.6,3.37,8.06,30.69,16.73
70,5.16,3.05,7.66,29.89,16.08
71,4.67,2.7,7.16,28.57,15.42
72,4.13,2.34,6.55,27.25,14.77
73,3.64,2.03,5.96,25.66,14.12
74,3.15,1.72,5.31,23.81,13.46
75,2.61,1.4,4.54,21.96,12.81
76,3.8,2.13,6.16,4.76,11.5
77,4.35,2.48,6.81,7.14,12.16
78,4.84,2.81,7.33,9.79,12.81
79,5.38,3.2,7.87,12.17,13.46
80,5.87,3.57,8.29,14.55,14.05
81,6.36,3.97,8.67,16.93,14.71
82,6.85,4.39,9.01,19.05,15.36
83,7.28,4.79,9.26,21.43,16.01
84,7.72,5.22,9.48,23.54,16.67
85,8.04,5.58,9.62,25.66,17.32
86,8.26,5.83,9.7,27.51,17.91
87,8.37,5.96,9.73,29.37,18.56
88,8.26,5.83,9.7,30.95,19.08
89,8.04,5.58,9.62,32.28,19.35
90,7.72,5.22,9.48,33.33,19.08
91,7.28,4.79,9.26,33.86,18.56
92,6.85,4.39,9.01,34.13,17.91
93,6.36,3.97,8.67,33.86,17.32
94,5.87,3.57,8.29,33.33,16.67
95,5.38,3.2,7.87,32.28,16.01
96,4.84,2.81,7.33,30.95,15.36
97,4.35,2.48,6.81,29.37,14.71
98,3.8,2.13,6.16,27.51,14.05
99,3.26,1.79,5.46,25.66,13.46
100,2.77,1.5,4.78,23.54,12.81
101,3.91,2.2,6.29,5.56,12.03
102,4.46,2.55,6.93,8.2,12.35
103,5.0,2.93,7.5,10.58,12.68
104,5.54,3.32,8.01,13.23,13.33
105,6.03,3.7,8.43,15.61,13.99
106,6.58,4.15,8.83,17.99,14.64
107,7.07,4.58,9.14,20.37,15.23
108,7.55,5.05,9.4,22.75,15.88
109,8.04,5.58,9.62,25.13,16.47
110,8.48,6.1,9.77,27.25,17.06
111,8.8,6.54,9.86,29.37,17.65
112,8.91,6.7,9.88,31.22,18.17
113,8.8,6.54,9.86,33.07,18.56
114,8.48,6.1,9.77,34.66,18.69
115,8.04,5.58,9.62,35.71,18.56
116,7.55,5.05,9.4,36.51,18.17
117,7.07,4.58,9.14,36.77,17.65
118,6.58,4.15,8.83,36.51,17.06
119,6.03,3.7,8.43,35.71,16.47
120,5.54,3.32,8.01,34.66,15.88
121,5.0,2.93,7.5,33.07,15.23
122,4.46,2.55,6.93,31.22,14.64
123,3.91,2.2,6.29,29.37,13.99
124,3.37,1.86,5.6,27.25,13.33
125,2.83,1.53,4.85,25.13,12.68
126,4.02,2.27,6.43,6.35,12.55
127,4.57,2.63,7.05,8.99,12.94
128,5.05,2.97,7.55,11.38,13.27
129,5.6,3.37,8.06,14.02,13.59
130,6.14,3.79,8.51,16.67,13.79
131,6.68,4.24,8.9,19.05,14.44
132,7.23,4.74,9.23,21.43,15.03
133,7.77,5.28,9.5,24.07,15.62
134,8.26,5.83,9.7,26.46,16.21
135,8.8,6.54,9.86,28.57,16.73
136,9.24,7.24,9.94,30.95,17.25
137,9.46,7.67,9.97,33.07,17.65
138,9.24,7.24,9.94,34.92,17.91
139,8.8,6.54,9.86,36.77,18.04
140,8.26,5.83,9.7,38.1,17.91
141,7.77,5.28,9.5,39.15,17.65
142,7.23,4.74,9.23,39.42,17.25
143,6.68,4.24,8.9,39.15,16.73
144,6.14,3.79,8.51,38.1,16.21
145,5.6,3.37,8.06,36.77,15.62
146,5.05,2.97,7.55,34.92,15.03
147,4.57,2.63,7.05,33.07,14.44
148,4.02,2.27,6.43,30.95,13.79
149,3.48,1.92,5.75,28.57,13.2
150,2.93,1.59,5.01,26.46,12.55
151,4.02,2.27,6.43,6.88,13.07
152,4.57,2.63,7.05,9.52,13.46
153,5.11,3.01,7.61,12.17,13.86
154,5.65,3.41,8.11,14.81,14.18
155,6.2,3.83,8.55,17.2,14.44
156,6.74,4.29,8.94,19.84,14.64
157,7.28,4.79,9.26,22.49,14.71
158,7.83,5.34,9.53,24.87,15.29
159,8.37,5.96,9.73,27.51,15.82
160,8.91,6.7,9.88,29.89,16.27
161,9.46,7.67,9.97,32.28,16.73
162,10.0,10.0,10.0,34.66,17.06
163,9.46,7.67,9.97,36.77,17.32
164,8.91,6.7,9.88,38.89,17.39
165,8.37,5.96,9.73,40.48,17.32
166,7.83,5.34,9.53,41.53,17.06
167,7.28,4.79,9.26,42.06,16.73
168,6.74,4.29,8.94,41.53,16.27
169,6.2,3.83,8.55,40.48,15.82
170,5.65,3.41,8.11,38.89,15.29
171,5.11,3.01,7.61,36.77,14.71
172,4.57,2.63,7.05,34.66,14.18
173,4.02,2.27,6.43,32.28,13.59
174,3.48,1.92,5.75,29.89,12.94
175,2.93,1.59,5.01,27.51,12.35
176,4.02,2.27,6.43,7.41,13.53
177,4.57,2.63,7.05,10.05,13.99
178,5.05,2.97,7.55,12.7,14.38
179,5.6,3.37,8.06,15.08,14.71
180,6.14,3.79,8.51,17.72,15.03
181,6.68,4.24,8.9,20.37,15.23
182,7.23,4.74,9.23,23.02,15.36
183,7.77,5.28,9.5,25.66,15.42
184,8.26,5.83,9.7,28.31,15.36
185,8.8,6.54,9.86,30.69,15.82
186,9.24,7.24,9.94,33.33,16.21
187,9.46,7.67,9.97,35.71,16.47
188,9.24,7.24,9.94,38.1,16.67
189,8.8,6.54,9.86,40.48,16.73
190,8.26,5.83,9.7,42.59,16.67
191,7.77,5.28,9.5,44.18,16.47
192,7.23,4.74,9.23,44.71,16.21
193,6.68,4.24,8.9,44.18,15.82
194,6.14,3.79,8.51,42.59,15.36
195,5.6,3.37,8.06,40.48,14.9
196,5.05,2.97,7.55,38.1,14.38
197,4.57,2.63,7.05,35.71,13.86
198,4.02,2.27,6.43,33.33,13.27
199,3.48,1.92,5.75,30.69,12.68
200,2.93,1.59,5.01,28.31,12.09
201,3.91,2.2,6.29,7.67,13.99
202,4.46,2.55,6.93,10.32,14.44
203,5.0,2.93,7.5,12.96,14.9
204,5.54,3.32,8.01,15.61,15.29
205,6.03,3.7,8.43,18.25,15.62
206,6.58,4.15,8.83,20.9,15.88
207,7.07,4.58,9.14,23.54,16.01
208,7.55,5.05,9.4,25.93,16.08
209,8.04,5.58,9.62,28.57,16.01
210,8.48,6.1,9.77,31.22,15.88
211,8.8,6.54,9.86,33.86,15.62
212,8.91,6.7,9.88,36.51,15.88
213,8.8,6.54,9.86,39.15,16.01
214,8.48,6.1,9.77,41.53,16.08
215,8.04,5.58,9.62,44.18,16.01
216,7.55,5.05,9.4,46.3,15.88
217,7.07,4.58,9.14,47.35,15.62
218,6.58,4.15,8.83,46.3,15.29
219,6.03,3.7,8.43,44.18,14.9
220,5.54,3.32,8.01,41.53,14.44
221,5.0,2.93,7.5,39.15,13.99
222,4.46,2.55,6.93,36.51,13.46
223,3.91,2.2,6.29,33.86,12.94
224,3.37,1.86,5.6,31.22,12.35
225,2.83,1.53,4.85,28.57,11.83
226,3.8,2.13,6.16,7.67,14.38
227,4.35,2.48,6.81,10.32,14.9
228,4.84,2.81,7.33,12.96,15.36
229,5.38,3.2,7.87,15.61,15.82
230,5.87,3.57,8.29,18.25,16.21
231,6.36,3.97,8.67,20.9,16.47
232,6.85,4.39,9.01,23.54,16.67
233,7.28,4.79,9.26,26.19,16.73
234,7.72,5.22,9.48,28.84,16.67
235,8.04,5.58,9.62,31.48,16.47
236,8.26,5.83,9.7,34.13,16.21
237,8.37,5.96,9.73,36.77,15.82
238,8.26,5.83,9.7,39.42,15.36
239,8.04,5.58,9.62,42.06,15.42
240,7.72,5.22,9.48,44.71,15.36
241,7.28,4.79,9.26,47.35,15.23
242,6.85,4.39,9.01,50.0,15.03
243,6.36,3.97,8.67,47.35,14.71
244,5.87,3.57,8.29,44.71,14.38
245,5.38,3.2,7.87,42.06,13.99
246,4.84,2.81,7.33,39.42,13.53
247,4.35,2.48,6.81,36.77,13.07
248,3.8,2.13,6.16,34.13,12.55
249,3.26,1.79,5.46,31.48,12.03
250,2.77,1.5,4.78,28.84,11.5
251,3.64,2.03,5.96,7.67,14.71
252,4.13,2.34,6.55,10.32,15.29
253,4.67,2.7,7.16,12.96,15.82
254,5.16,3.05,7.66,15.61,16.27
255,5.6,3.37,8.06,18.25,16.73
256,6.09,3.74,8.47,20.9,17.06
257,6.52,4.1,8.79,23.54,17.32
258,6.9,4.43,9.04,25.93,17.39
259,7.28,4.79,9.26,28.57,17.32
260,7.55,5.05,9.4,31.22,17.06
261,7.77,5.28,9.5,33.86,16.73
262,7.83,5.34,9.53,36.51,16.27
263,7.77,5.28,9.5,39.15,15.82
264,7.55,5.05,9.4,41.53,15.29
265,7.28,4.79,9.26,44.18,14.71
266,6.9,4.43,9.04,46.3,14.64
267,6.52,4.1,8.79,47.35,14.44
268,6.09,3.74,8.47,46.3,14.18
269,5.6,3.37,8.06,44.18,13.86
270,5.16,3.05,7.66,41.53,13.46
271,4.67,2.7,7.16,39.15,13.07
272,4.13,2.34,6.55,36.51,12.61
273,3.64,2.03,5.96,33.86,12.16
274,3.15,1.72,5.31,31.22,11.63
275,2.61,1.4,4.54,28.57,11.11
276,3.42,1.89,5.68,7.41,15.03
277,3.91,2.2,6.29,10.05,15.62
278,4.4,2.52,6.87,12.7,16.21
279,4.89,2.85,7.39,15.08,16.73
280,5.33,3.16,7.82,17.72,17.25
281,5.76,3.49,8.2,20.37,17.65
282,6.14,3.79,8.51,23.02,17.91
283,6.52,4.1,8.79,25.66,18.04
284,6.85,4.39,9.01,28.31,17.91
285,7.07,4.58,9.14,30.69,17.65
286,7.23,4.74,9.23,33.33,17.25
287,7.28,4.79,9.26,35.71,16.73
288,7.23,4.74,9.23,38.1,16.21
289,7.07,4.58,9.14,40.48,15.62
290,6.85,4.39,9.01,42.59,15.03
291,6.52,4.1,8.79,44.18,14.44
292,6.14,3.79,8.51,44.71,13.79
293,5.76,3.49,8.2,44.18,13.59
294,5.33,3.16,7.82,42.59,13.27
295,4.89,2.85,7.39,40.48,12.94
296,4.4,2.52,6.87,38.1,12.55
297,3.91,2.2,6.29,35.71,12.16
298,3.42,1.89,5.68,33.33,11.7
299,2.93,1.59,5.01,30.69,11.18
300,2.45,1.31,4.29,28.31,10.72
301,3.21,1.76,5.38,6.88,15.42
302,3.64,2.03,5.96,9.52,15.88
303,4.13,2.34,6.55,12.17,16.47
304,4.57,2.63,7.05,14.81,17.06
305,5.0,2.93,7.5,17.2,17.65
306,5.38,3.2,7.87,19.84,18.17
307,5.76,3.49,8.2,22.49,18.56
308,6.09,3.74,8.47,24.87,18.69
309,6.36,3.97,8.67,27.51,18.56
310,6.58,4.15,8.83,29.89,18.17
311,6.68,4.24,8.9,32.28,17.65
312,6.74,4.29,8.94,34.66,17.06
313,6.68,4.24,8.9,36.77,16.47
314,6.58,4.15,8.83,38.89,15.88
315,6.36,3.97,8.67,40.48,15.23
316,6.09,3.74,8.47,41.53,14.64
317,5.76,3.49,8.2,42.06,13.99
318,5.38,3.2,7.87,41.53,13.33
319,5.0,2.93,7.5,40.48,12.68
320,4.57,2.63,7.05,38.89,12.35
321,4.13,2.34,6.55,36.77,12.03
322,3.64,2.03,5.96,34.66,11.63
323,3.21,1.76,5.38,32.28,11.18
324,2.72,1.47,4.7,29.89,10.78
325,2.23,1.18,3.96,27.51,10.26
326,2.93,1.59,5.01,6.35,16.08
327,3.37,1.86,5.6,8.99,16.01
328,3.8,2.13,6.16,11.38,16.67
329,4.24,2.41,6.68,14.02,17.32
330,4.62,2.66,7.11,16.67,17.91
331,5.0,2.93,7.5,19.05,18.56
332,5.33,3.16,7.82,21.43,19.08
333,5.6,3.37,8.06,24.07,19.35
334,5.87,3.57,8.29,26.46,19.08
335,6.03,3.7,8.43,28.57,18.56
336,6.14,3.79,8.51,30.95,17.91
337,6.2,3.83,8.55,33.07,17.32
338,6.14,3.79,8.51,34.92,16.67
339,6.03,3.7,8.43,36.77,16.01
340,5.87,3.57,8.29,38.1,15.36
341,5.6,3.37,8.06,39.15,14.71
342,5.33,3.16,7.82,39.42,14.05
343,5.0,2.93,7.5,39.15,13.46
344,4.62,2.66,7.11,38.1,12.81
345,4.24,2.41,6.68,36.77,12.16
346,3.8,2.13,6.16,34.92,11.5
347,3.37,1.86,5.6,33.07,11.11
348,2.93,1.59,5.01,30.95,10.72
349,2.45,1.31,4.29,28.57,10.26
350,1.96,1.03,3.53,26.46,9.8
351,2.61,1.4,4.54,5.56,16.73
352,3.04,1.66,5.16,8.2,16.67
353,3.48,1.92,5.75,10.58,16.73
354,3.86,2.16,6.23,13.23,17.39
355,4.24,2.41,6.68,15.61,18.04
356,4.57,2.63,7.05,17.99,18.69
357,4.89,2.85,7.39,20.37,19.35
358,5.16,3.05,7.66,22.75,20.0
359,5.38,3.2,7.87,25.13,19.35
360,5.54,3.32,8.01,27.25,18.69
361,5.6,3.37,8.06,29.37,18.04
362,5.65,3.41,8.11,31.22,17.39
363,5.6,3.37,8.06,33.07,16.73
364,5.54,3.32,8.01,34.66,16.08
365,5.38,3.2,7.87,35.71,15.42
366,5.16,3.05,7.66,36.51,14.77
367,4.89,2.85,7.39,36.77,14.12
368,4.57,2.63,7.05,36.51,13.46
369,4.24,2.41,6.68,35.71,12.81
370,3.86,2.16,6.23,34.66,12.16
371,3.48,1.92,5.75,33.07,11.5
372,3.04,1.66,5.16,31.22,10.85
373,2.61,1.4,4.54,29.37,10.2
374,2.17,1.15,3.88,27.25,9.8
375,1.68,0.88,3.09,25.13,9.35
376,2.28,1.22,4.04,4.76,17.39
377,2.66,1.43,4.62,7.14,17.32
378,3.1,1.69,5.24,9.79,17.06
379,3.48,1.92,5.75,12.17,17.32
380,3.8,2.13,6.16,14.55,17.91
381,4.13,2.34,6.55,16.93,18.56
382,4.4,2.52,6.87,19.05,19.08
383,4.67,2.7,7.16,21.43,19.35
384,4.84,2.81,7.33,23.54,19.08
385,5.0,2.93,7.5,25.66,18.56
386,5.05,2.97,7.55,27.51,17.91
387,5.11,3.01,7.61,29.37,17.32
388,5.05,2.97,7.55,30.95,16.67
389,5.0,2.93,7.5,32.28,16.01
390,4.84,2.81,7.33,33.33,15.36
391,4.67,2.7,7.16,33.86,14.71
392,4.4,2.52,6.87,34.13,14.05
393,4.13,2.34,6.55,33.86,13.46
394,3.8,2.13,6.16,33.33,12.81
395,3.48,1.92,5.75,32.28,12.16
396,3.1,1.69,5.24,30.95,11.5
397,2.66,1.43,4.62,29.37,10.85
398,2.28,1.22,4.04,27.51,10.2
399,1.85,0.97,3.35,25.66,9.54
400,1.41,0.73,2.63,23.54,8.89
401,1.9,1.0,3.44,3.7,18.04
402,2.34,1.25,4.13,6.08,17.91
403,2.66,1.43,4.62,8.47,17.65
404,3.04,1.66,5.16,10.85,17.25
405,3.37,1.86,5.6,13.23,17.65
406,3.64,2.03,5.96,15.61,18.17
407,3.91,2.2,6.29,17.72,18.56
408,4.13,2.34,6.55,19.84,18.69
409,4.35,2.48,6.81,21.96,18.56
410,4.46,2.55,6.93,23.81,18.17
411,4.57,2.63,7.05,25.66,17.65
412,4.57,2.63,7.05,27.25,17.06
413,4.57,2.63,7.05,28.57,16.47
414,4.46,2.55,6.93,29.89,15.88
415,4.35,2.48,6.81,30.69,15.23
416,4.13,2.34,6.55,31.22,14.64
417,3.91,2.2,6.29,31.48,13.99
418,3.64,2.03,5.96,31.22,13.33
419,3.37,1.86,5.6,30.69,12.68
420,3.04,1.66,5.16,29.89,12.03
421,2.66,1.43,4.62,28.57,11.37
422,2.34,1.25,4.13,27.25,10.78
423,1.9,1.0,3.44,25.66,10.13
424,1.52,0.79,2.81,23.81,9.48
425,1.09,0.56,2.06,21.96,8.82
426,1.52,0.79,2.81,2.65,18.69
427,1.9,1.0,3.44,5.03,18.56
428,2.28,1.22,4.04,7.41,18.17
429,2.61,1.4,4.54,9.52,17.65
430,2.93,1.59,5.01,11.9,17.25
431,3.21,1.76,5.38,14.02,17.65
432,3.42,1.89,5.68,16.14,17.91
433,3.64,2.03,5.96,18.25,18.04
434,3.8,2.13,6.16,20.11,17.91
435,3.91,2.2,6.29,21.96,17.65
436,4.02,2.27,6.43,23.54,17.25
437,4.02,2.27,6.43,25.13,16.73
438,4.02,2.27,6.43,26.46,16.21
439,3.91,2.2,6.29,27.51,15.62
440,3.8,2.13,6.16,28.31,15.03
441,3.64,2.03,5.96,28.57,14.44
442,3.42,1.89,5.68,28.84,13.79
443,3.21,1.76,5.38,28.57,13.2
444,2.93,1.59,5.01,28.31,12.55
445,2.61,1.4,4.54,27.51,11.9
446,2.28,1.22,4.04,26.46,11.31
447,1.9,1.0,3.44,25.13,10.65
448,1.52,0.79,2.81,23.54,10.0
449,1.14,0.59,2.15,21.96,9.35
450,0.76,0.39,1.46,20.11,8.69
451,1.14,0.59,2.15,1.32,19.35
452,1.52,0.79,2.81,3.7,19.08
453,1.85,0.97,3.35,6.08,18.56
454,2.17,1.15,3.88,8.2,17.91
455,2.45,1.31,4.29,10.32,17.32
456,2.72,1.47,4.7,12.43,17.06
457,2.93,1.59,5.01,14.29,17.32
458,3.15,1.72,5.31,16.4,17.39
459,3.26,1.79,5.46,18.25,17.32
460,3.37,1.86,5.6,19.84,17.06
461,3.48,1.92,5.75,21.43,16.73
462,3.48,1.92,5.75,22.75,16.27
463,3.48,1.92,5.75,24.07,15.82
464,3.37,1.86,5.6,24.87,15.29
465,3.26,1.79,5.46,25.66,14.71
466,3.15,1.72,5.31,25.93,14.18
467,2.93,1.59,5.01,26.19,13.59
468,2.72,1.47,4.7,25.93,12.94
469,2.45,1.31,4.29,25.66,12.35
470,2.17,1.15,3.88,24.87,11.76
471,1.85,0.97,3.35,24.07,11.11
472,1.52,0.79,2.81,22.75,10.46
473,1.14,0.59,2.15,21.43,9.87
474,0.76,0.39,1.46,19.84,9.22
475,0.38,0.19,0.75,18.25,8.56
476,0.76,0.39,1.46,-0.0,20.0
477,1.09,0.56,2.06,2.38,19.35
478,1.41,0.73,2.63,4.5,18.69
479,1.68,0.88,3.09,6.61,18.04
480,1.96,1.03,3.53,8.73,17.39
481,2.23,1.18,3.96,10.58,16.73
482,2.45,1.31,4.29,12.7,16.67
483,2.61,1.4,4.54,14.29,16.73
484,2.77,1.5,4.78,16.14,16.67
485,2.83,1.53,4.85,17.72,16.47
486,2.93,1.59,5.01,19.05,16.21
487,2.93,1.59,5.01,20.37,15.82
488,2.93,1.59,5.01,21.43,15.36
489,2.83,1.53,4.85,22.49,14.9
490,2.77,1.5,4.78,23.02,14.38
491,2.61,1.4,4.54,23.54,13.86
492,2.45,1.31,4.29,23.54,13.27
493,2.23,1.18,3.96,23.54,12.68
494,1.96,1.03,3.53,23.02,12.09
495,1.68,0.88,3.09,22.49,11.5
496,1.41,0.73,2.63,21.43,10.92
497,1.09,0.56,2.06,20.37,10.26
498,0.76,0.39,1.46,19.05,9.67
499,0.38,0.19,0.75,17.72,9.02
500,-0.0,-0.0,-0.0,16.14,8.43
