id,m_cf1,m_cf2,m_cf3
98,0.54,2.17,1.37
99,0.43,2.13,1.28
100,0.32,2.07,1.19
101,0.7,0.27,1.52
102,0.82,0.4,1.6
103,0.93,0.54,1.69
104,1.05,0.68,1.77
105,1.16,0.82,1.84
106,1.27,0.95,1.9
107,1.37,1.09,1.95
108,1.46,1.22,1.97
109,1.53,1.35,1.95
110,1.58,1.48,1.9
111,1.59,1.6,1.84
112,1.59,1.72,1.9
113,1.58,1.83,1.95
114,1.53,1.94,1.97
115,1.46,2.04,1.95
116,1.37,2.13,1.9
117,1.27,2.21,1.84
118,1.16,2.28,1.77
119,1.05,2.33,1.69
120,0.93,2.36,1.6
121,0.82,2.37,1.52
122,0.7,2.36,1.43
123,0.59,2.33,1.34
124,0.48,2.28,1.25
125,0.37,2.21,1.17
126,0.76,0.32,1.47
127,0.88,0.46,1.55
128,1.0,0.6,1.63
129,1.12,0.74,1.7
130,1.24,0.88,1.77
131,1.37,1.02,1.82
132,1.48,1.16,1.85
133,1.59,1.29,1.86
134,1.68,1.43,1.85
135,1.75,1.56,1.82
136,1.77,1.69,1.77
137,1.77,1.82,1.82
138,1.75,1.94,1.85
139,1.68,2.06,1.86
140,1.59,2.17,1.85
141,1.48,2.27,1.82
142,1.37,2.36,1.77
143,1.24,2.43,1.7
144,1.12,2.48,1.63
145,1.0,2.52,1.55
146,0.88,2.53,1.47
147,0.76,2.52,1.39
148,0.64,2.48,1.31
149,0.52,2.43,1.22
150,0.41,2.36,1.14
151,0.8,0.36,1.42
152,0.92,0.51,1.5
153,1.05,0.65,1.57
154,1.19,0.79,1.63
155,1.32,0.94,1.69
156,1.46,1.08,1.73
157,1.59,1.22,1.76
158,1.72,1.36,1.77
159,1.84,1.5,1.76
160,1.93,1.64,1.73
161,1.96,1.78,1.69
162,1.96,1.91,1.73
163,1.93,2.04,1.76
164,1.84,2.17,1.77
165,1.72,2.29,1.76
166,1.59,2.4,1.73
167,1.46,2.5,1.69
168,1.32,2.58,1.63
169,1.19,2.64,1.57
170,1.05,2.68,1.5
171,0.92,2.7,1.42
172,0.8,2.68,1.35
173,0.68,2.64,1.27
174,0.56,2.58,1.19
175,0.44,2.5,1.11
176,0.83,0.4,1.37
177,0.96,0.55,1.43
178,1.1,0.7,1.5
179,1.23,0.84,1.55
180,1.38,0.99,1.6
181,1.53,1.13,1.64
182,1.68,1.28,1.66
183,1.84,1.42,1.67
184,2.0,1.57,1.66
185,2.12,1.71,1.64
186,2.18,1.86,1.6
187,2.18,2.0,1.64
188,2.12,2.13,1.66
189,2.0,2.27,1.67
190,1.84,2.4,1.66
191,1.68,2.52,1.64
192,1.53,2.63,1.6
193,1.38,2.73,1.55
194,1.23,2.8,1.5
195,1.1,2.85,1.43
196,0.96,2.87,1.37
197,0.83,2.85,1.29
198,0.7,2.8,1.22
199,0.58,2.73,1.14
200,0.46,2.63,1.06
201,0.85,0.44,1.3
202,0.98,0.58,1.37
203,1.12,0.73,1.42
204,1.27,0.88,1.47
205,1.42,1.03,1.52
206,1.58,1.18,1.55
207,1.75,1.33,1.57
208,1.93,1.48,1.57
209,2.12,1.62,1.57
210,2.32,1.77,1.55
211,2.44,1.92,1.52
212,2.44,2.07,1.55
213,2.32,2.21,1.57
214,2.12,2.36,1.57
215,1.93,2.5,1.57
216,1.75,2.63,1.55
217,1.58,2.75,1.52
218,1.42,2.87,1.47
219,1.27,2.96,1.42
220,1.12,3.02,1.37
221,0.98,3.04,1.3
222,0.85,3.02,1.24
223,0.72,2.96,1.17
224,0.6,2.87,1.09
225,0.47,2.75,1.02
226,0.86,0.46,1.24
227,0.99,0.61,1.29
228,1.13,0.76,1.35
229,1.28,0.91,1.39
230,1.43,1.06,1.43
231,1.59,1.21,1.46
232,1.77,1.36,1.47
233,1.96,1.52,1.48
234,2.18,1.67,1.47
235,2.44,1.82,1.46
236,2.9,1.97,1.43
237,2.9,2.13,1.46
238,2.44,2.28,1.47
239,2.18,2.43,1.48
240,1.96,2.58,1.47
241,1.77,2.73,1.46
242,1.59,2.87,1.43
243,1.43,3.0,1.39
244,1.28,3.11,1.35
245,1.13,3.18,1.29
246,0.99,3.21,1.24
247,0.86,3.18,1.17
248,0.73,3.11,1.11
249,0.6,3.0,1.04
250,0.48,2.87,0.97
251,0.86,0.48,1.17
252,0.99,0.63,1.22
253,1.13,0.78,1.27
254,1.28,0.93,1.31
255,1.43,1.09,1.34
256,1.59,1.24,1.37
257,1.77,1.39,1.38
258,1.96,1.54,1.39
259,2.18,1.7,1.38
260,2.44,1.86,1.37
261,2.9,2.01,1.34
262,2.9,2.17,1.37
263,2.44,2.33,1.38
264,2.18,2.48,1.39
265,1.96,2.64,1.38
266,1.77,2.8,1.37
267,1.59,2.96,1.34
268,1.43,3.11,1.31
269,1.28,3.24,1.27
270,1.13,3.35,1.22
271,0.99,3.39,1.17
272,0.86,3.35,1.11
273,0.73,3.24,1.05
274,0.6,3.11,0.98
275,0.48,2.96,0.91
276,0.85,0.49,1.09
277,0.98,0.64,1.14
278,1.12,0.79,1.19
279,1.27,0.95,1.22
280,1.42,1.1,1.25
281,1.58,1.25,1.28
282,1.75,1.41,1.29
283,1.93,1.56,1.29
284,2.12,1.72,1.29
285,2.32,1.88,1.28
286,2.44,2.04,1.25
287,2.44,2.2,1.28
288,2.32,2.36,1.29
289,2.12,2.52,1.29
290,1.93,2.68,1.29
291,1.75,2.85,1.28
292,1.58,3.02,1.25
293,1.42,3.18,1.22
294,1.27,3.35,1.19
295,1.12,3.5,1.14
296,0.98,3.58,1.09
297,0.85,3.5,1.04
298,0.72,3.35,0.98
299,0.6,3.18,0.92
300,0.47,3.02,0.86
301,0.83,0.5,1.02
302,0.96,0.65,1.06
303,1.1,0.8,1.11
304,1.23,0.95,1.14
305,1.38,1.1,1.17
306,1.53,1.26,1.19
307,1.68,1.41,1.2
308,1.84,1.57,1.2
309,2.0,1.73,1.2
310,2.12,1.88,1.19
311,2.18,2.04,1.17
312,2.18,2.2,1.19
313,2.12,2.37,1.2
314,2.0,2.53,1.2
315,1.84,2.7,1.2
316,1.68,2.87,1.19
317,1.53,3.04,1.17
318,1.38,3.21,1.14
319,1.23,3.39,1.11
320,1.1,3.58,1.06
321,0.96,3.8,1.02
322,0.83,3.58,0.97
323,0.7,3.39,0.91
324,0.58,3.21,0.86
325,0.46,3.04,0.8
326,0.8,0.49,0.94
327,0.92,0.64,0.99
328,1.05,0.79,1.02
329,1.19,0.95,1.05
330,1.32,1.1,1.08
331,1.46,1.25,1.1
332,1.59,1.41,1.11
333,1.72,1.56,1.11
334,1.84,1.72,1.11
335,1.93,1.88,1.1
336,1.96,2.04,1.08
337,1.96,2.2,1.1
338,1.93,2.36,1.11
339,1.84,2.52,1.11
340,1.72,2.68,1.11
341,1.59,2.85,1.1
342,1.46,3.02,1.08
343,1.32,3.18,1.05
344,1.19,3.35,1.02
345,1.05,3.5,0.99
346,0.92,3.58,0.94
347,0.8,3.5,0.9
348,0.68,3.35,0.84
349,0.56,3.18,0.79
350,0.44,3.02,0.73
351,0.76,0.48,0.87
352,0.88,0.63,0.91
353,1.0,0.78,0.94
354,1.12,0.93,0.97
355,1.24,1.09,0.99
356,1.37,1.24,1.01
357,1.48,1.39,1.02
358,1.59,1.54,1.02
359,1.68,1.7,1.02
360,1.75,1.86,1.01
361,1.77,2.01,0.99
362,1.77,2.17,1.01
363,1.75,2.33,1.02
364,1.68,2.48,1.02
365,1.59,2.64,1.02
366,1.48,2.8,1.01
367,1.37,2.96,0.99
368,1.24,3.11,0.97
369,1.12,3.24,0.94
370,1.0,3.35,0.91
371,0.88,3.39,0.87
372,0.76,3.35,0.82
373,0.64,3.24,0.77
374,0.52,3.11,0.72
375,0.41,2.96,0.67
376,0.7,0.46,0.79
377,0.82,0.61,0.82
378,0.93,0.76,0.86
379,1.05,0.91,0.88
380,1.16,1.06,0.91
381,1.27,1.21,0.92
382,1.37,1.36,0.93
383,1.46,1.52,0.93
384,1.53,1.67,0.93
385,1.58,1.82,0.92
386,1.59,1.97,0.91
387,1.59,2.13,0.92
388,1.58,2.28,0.93
389,1.53,2.43,0.93
390,1.46,2.58,0.93
391,1.37,2.73,0.92
392,1.27,2.87,0.91
393,1.16,3.0,0.88
394,1.05,3.11,0.86
395,0.93,3.18,0.82
396,0.82,3.21,0.79
397,0.7,3.18,0.75
398,0.59,3.11,0.7
399,0.48,3.0,0.65
400,0.37,2.87,0.6
401,0.64,0.44,0.71
402,0.75,0.58,0.74
403,0.86,0.73,0.77
404,0.96,0.88,0.8
405,1.06,1.03,0.82
406,1.16,1.18,0.83
407,1.24,1.33,0.84
408,1.32,1.48,0.84
409,1.38,1.62,0.84
410,1.42,1.77,0.83
411,1.43,1.92,0.82
412,1.43,2.07,0.83
413,1.42,2.21,0.84
414,1.38,2.36,0.84
415,1.32,2.5,0.84
416,1.24,2.63,0.83
417,1.16,2.75,0.82
418,1.06,2.87,0.8
419,0.96,2.96,0.77
420,0.86,3.02,0.74
421,0.75,3.04,0.71
422,0.64,3.02,0.67
423,0.54,2.96,0.63
424,0.43,2.87,0.58
425,0.32,2.75,0.53
426,0.58,0.4,0.63
427,0.68,0.55,0.66
428,0.77,0.7,0.69
429,0.87,0.84,0.71
430,0.96,0.99,0.73
431,1.05,1.13,0.75
432,1.12,1.28,0.75
433,1.19,1.42,0.76
434,1.23,1.57,0.75
435,1.27,1.71,0.75
436,1.28,1.86,0.73
437,1.28,2.0,0.75
438,1.27,2.13,0.75
439,1.23,2.27,0.76
440,1.19,2.4,0.75
441,1.12,2.52,0.75
442,1.05,2.63,0.73
443,0.96,2.73,0.71
444,0.87,2.8,0.69
445,0.77,2.85,0.66
446,0.68,2.87,0.63
447,0.58,2.85,0.59
448,0.47,2.8,0.55
449,0.37,2.73,0.51
450,0.27,2.63,0.46
451,0.5,0.36,0.55
452,0.6,0.51,0.58
453,0.69,0.65,0.61
454,0.77,0.79,0.63
455,0.86,0.94,0.65
456,0.93,1.08,0.66
457,1.0,1.22,0.67
458,1.05,1.36,0.67
459,1.1,1.5,0.67
460,1.12,1.64,0.66
461,1.13,1.78,0.65
462,1.13,1.91,0.66
463,1.12,2.04,0.67
464,1.1,2.17,0.67
465,1.05,2.29,0.67
466,1.0,2.4,0.66
467,0.93,2.5,0.65
468,0.86,2.58,0.63
469,0.77,2.64,0.61
470,0.69,2.68,0.58
471,0.6,2.7,0.55
472,0.5,2.68,0.51
473,0.41,2.64,0.47
474,0.31,2.58,0.43
475,0.22,2.5,0.39
476,0.43,0.32,0.47
477,0.51,0.46,0.5
478,0.6,0.6,0.52
479,0.68,0.74,0.54
480,0.75,0.88,0.56
481,0.82,1.02,0.57
482,0.88,1.16,0.58
483,0.92,1.29,0.58
484,0.96,1.43,0.58
485,0.98,1.56,0.57
486,0.99,1.69,0.56
487,0.99,1.82,0.57
488,0.98,1.94,0.58
489,0.96,2.06,0.58
490,0.92,2.17,0.58
491,0.88,2.27,0.57
492,0.82,2.36,0.56
493,0.75,2.43,0.54
494,0.68,2.48,0.52
495,0.6,2.52,0.5
496,0.51,2.53,0.47
497,0.43,2.52,0.43
498,0.34,2.48,0.4
499,0.25,2.43,0.36
500,0.15,2.36,0.31
