id,m_cf1,m_cf2,m_cf3,m_cf4,m_cf5,m_cf6
78,3.2,3.19,3.7,0.99,4.29,1.61
79,3.13,3.06,3.8,1.02,4.4,1.55
80,3.06,2.93,3.9,1.05,4.52,1.49
81,2.97,2.81,4.0,1.08,4.63,1.42
82,2.86,2.69,4.1,1.11,4.74,1.36
83,2.75,2.57,4.2,1.15,4.84,1.3
84,2.64,2.45,4.3,1.18,4.9,1.24
85,2.52,2.34,4.4,1.21,4.95,1.17
86,2.39,2.23,4.5,1.25,4.97,1.12
87,2.25,2.11,4.61,1.28,4.95,1.05
88,2.1,2.01,4.71,1.32,4.9,0.99
89,1.96,1.9,4.82,1.35,4.84,0.93
90,1.83,1.79,4.93,1.39,4.74,0.87
91,1.67,1.69,5.04,1.43,4.63,0.82
92,1.52,1.59,5.15,1.46,4.52,0.76
93,1.37,1.48,5.27,1.5,4.4,0.69
94,1.22,1.38,5.4,1.55,4.29,0.64
95,1.05,1.28,5.27,1.59,4.16,0.58
96,0.91,1.19,5.15,1.64,4.04,0.52
97,0.75,1.09,5.04,1.7,3.92,0.46
98,0.61,0.99,4.93,1.64,3.8,0.4
99,0.46,0.9,4.82,1.59,3.8,0.35
100,0.3,0.8,4.71,1.55,3.8,0.29
101,0.7,4.2,2.65,0.89,4.29,2.48
102,0.84,4.34,2.65,0.9,4.36,2.55
103,1.0,4.51,2.65,0.92,4.42,2.6
104,1.16,4.7,2.64,0.94,4.46,2.66
105,1.31,4.89,2.63,0.95,4.48,2.71
106,1.48,5.09,2.62,0.96,4.49,2.74
107,1.63,5.31,2.6,0.98,4.48,2.77
108,1.79,5.53,2.58,0.99,4.46,2.78
109,1.94,5.8,2.56,0.99,4.42,2.77
110,2.1,6.06,2.53,1.0,4.36,2.74
111,2.25,6.22,2.51,1.01,4.29,2.71
112,2.39,6.06,2.48,1.01,4.2,2.66
113,2.54,5.8,2.44,1.02,4.12,2.6
114,2.69,5.53,2.41,1.02,4.02,2.55
115,2.82,5.31,2.46,1.02,3.93,2.48
116,2.95,5.09,2.55,1.01,3.82,2.42
117,3.06,4.89,2.65,1.01,3.72,2.35
118,3.17,4.7,2.74,1.0,3.62,2.29
119,3.27,4.51,2.83,0.99,3.51,2.22
120,3.36,4.34,2.93,0.99,3.47,2.15
121,3.41,4.2,3.02,0.98,3.56,2.09
122,3.45,4.04,3.12,0.96,3.66,2.02
123,3.5,3.88,3.22,0.95,3.73,1.96
124,3.5,3.74,3.31,0.94,3.85,1.89
125,3.5,3.59,3.41,0.92,3.97,1.83
126,3.5,3.45,3.5,0.92,4.09,1.76
127,3.45,3.32,3.6,0.95,4.23,1.7
128,3.41,3.19,3.7,0.99,4.36,1.63
129,3.36,3.06,3.8,1.02,4.48,1.56
130,3.27,2.93,3.9,1.05,4.61,1.5
131,3.17,2.81,4.0,1.08,4.74,1.44
132,3.06,2.69,4.1,1.11,4.85,1.38
133,2.95,2.57,4.2,1.15,4.97,1.31
134,2.82,2.45,4.3,1.18,5.06,1.25
135,2.69,2.34,4.39,1.21,5.13,1.19
136,2.54,2.23,4.49,1.25,5.15,1.13
137,2.39,2.11,4.6,1.28,5.13,1.07
138,2.25,2.01,4.7,1.31,5.06,1.01
139,2.1,1.9,4.81,1.35,4.97,0.94
140,1.94,1.79,4.91,1.38,4.85,0.88
141,1.79,1.69,5.01,1.42,4.74,0.82
142,1.63,1.59,5.13,1.46,4.61,0.76
143,1.48,1.48,5.22,1.5,4.48,0.7
144,1.31,1.38,5.27,1.54,4.36,0.65
145,1.16,1.28,5.22,1.58,4.23,0.59
146,1.0,1.19,5.13,1.62,4.09,0.53
147,0.84,1.09,5.01,1.64,3.97,0.47
148,0.7,0.99,4.91,1.62,3.93,0.41
149,0.54,0.9,4.81,1.58,3.93,0.35
150,0.39,0.8,4.7,1.54,3.93,0.29
151,0.77,4.16,2.74,0.91,4.4,2.52
152,0.93,4.33,2.74,0.93,4.48,2.59
153,1.09,4.5,2.74,0.95,4.55,2.66
154,1.26,4.66,2.73,0.96,4.6,2.72
155,1.41,4.85,2.72,0.98,4.63,2.78
156,1.58,5.03,2.71,0.99,4.64,2.82
157,1.75,5.22,2.69,1.0,4.63,2.85
158,1.9,5.43,2.67,1.02,4.6,2.86
159,2.06,5.63,2.66,1.03,4.55,2.85
160,2.23,5.8,2.63,1.03,4.48,2.82
161,2.39,5.87,2.6,1.04,4.4,2.78
162,2.54,5.8,2.56,1.05,4.32,2.72
163,2.69,5.63,2.53,1.05,4.22,2.66
164,2.84,5.43,2.5,1.05,4.12,2.59
165,2.99,5.22,2.45,1.05,4.01,2.52
166,3.13,5.03,2.54,1.05,3.9,2.46
167,3.27,4.85,2.64,1.04,3.8,2.39
168,3.38,4.66,2.73,1.03,3.68,2.32
169,3.48,4.5,2.83,1.03,3.57,2.25
170,3.57,4.33,2.92,1.02,3.55,2.18
171,3.65,4.16,3.02,1.0,3.65,2.11
172,3.7,4.01,3.11,0.99,3.73,2.04
173,3.74,3.85,3.21,0.98,3.84,1.98
174,3.74,3.71,3.3,0.96,3.93,1.91
175,3.74,3.58,3.4,0.95,4.01,1.84
176,3.74,3.44,3.49,0.93,4.15,1.78
177,3.7,3.31,3.59,0.95,4.27,1.71
178,3.65,3.17,3.69,0.98,4.42,1.64
179,3.57,3.05,3.79,1.01,4.55,1.58
180,3.48,2.92,3.89,1.05,4.69,1.51
181,3.38,2.8,3.98,1.08,4.84,1.45
182,3.27,2.68,4.08,1.11,4.97,1.39
183,3.13,2.56,4.18,1.14,5.11,1.33
184,2.99,2.44,4.28,1.17,5.22,1.26
185,2.84,2.33,4.38,1.21,5.3,1.2
186,2.69,2.21,4.48,1.24,5.34,1.14
187,2.54,2.1,4.57,1.27,5.3,1.07
188,2.39,2.0,4.68,1.31,5.22,1.01
189,2.23,1.89,4.77,1.34,5.11,0.95
190,2.06,1.78,4.87,1.38,4.97,0.89
191,1.9,1.68,4.97,1.41,4.84,0.83
192,1.75,1.57,5.06,1.45,4.69,0.77
193,1.58,1.47,5.13,1.48,4.55,0.71
194,1.41,1.37,5.15,1.52,4.42,0.65
195,1.26,1.27,5.13,1.55,4.27,0.59
196,1.09,1.18,5.06,1.58,4.15,0.53
197,0.93,1.08,4.97,1.59,4.04,0.47
198,0.77,0.98,4.87,1.58,4.06,0.42
199,0.61,0.89,4.77,1.55,4.06,0.36
200,0.46,0.8,4.68,1.52,4.06,0.3
201,0.84,4.13,2.83,0.94,4.52,2.56
202,1.0,4.28,2.83,0.95,4.61,2.63
203,1.16,4.45,2.83,0.97,4.69,2.71
204,1.33,4.6,2.83,0.99,4.75,2.78
205,1.5,4.77,2.82,1.0,4.79,2.85
206,1.67,4.95,2.81,1.02,4.8,2.9
207,1.85,5.11,2.79,1.03,4.79,2.94
208,2.0,5.29,2.77,1.05,4.75,2.95
209,2.18,5.43,2.74,1.05,4.69,2.94
210,2.35,5.53,2.72,1.06,4.61,2.9
211,2.52,5.58,2.68,1.07,4.52,2.85
212,2.69,5.53,2.66,1.08,4.42,2.78
213,2.84,5.43,2.62,1.08,4.32,2.71
214,3.02,5.29,2.58,1.08,4.2,2.63
215,3.15,5.11,2.53,1.08,4.09,2.56
216,3.31,4.95,2.53,1.08,3.97,2.49
217,3.45,4.77,2.63,1.07,3.86,2.41
218,3.57,4.6,2.72,1.06,3.75,2.35
219,3.7,4.45,2.82,1.05,3.63,2.27
220,3.79,4.28,2.91,1.05,3.62,2.2
221,3.9,4.13,3.01,1.03,3.72,2.13
222,3.95,3.98,3.1,1.02,3.82,2.06
223,4.0,3.82,3.2,1.0,3.93,1.99
224,4.0,3.69,3.29,0.99,4.02,1.92
225,4.0,3.55,3.39,0.97,4.12,1.85
226,4.0,3.41,3.49,0.95,4.2,1.79
227,3.95,3.28,3.57,0.95,4.32,1.72
228,3.9,3.15,3.67,0.98,4.46,1.66
229,3.79,3.03,3.77,1.01,4.6,1.59
230,3.7,2.91,3.87,1.04,4.75,1.53
231,3.57,2.78,3.97,1.07,4.9,1.46
232,3.45,2.66,4.06,1.1,5.06,1.4
233,3.31,2.55,4.16,1.14,5.22,1.33
234,3.15,2.43,4.26,1.17,5.38,1.27
235,3.02,2.32,4.35,1.2,5.51,1.2
236,2.84,2.2,4.45,1.23,5.55,1.14
237,2.69,2.09,4.54,1.27,5.51,1.08
238,2.52,1.98,4.64,1.3,5.38,1.02
239,2.35,1.88,4.73,1.33,5.22,0.96
240,2.18,1.77,4.82,1.37,5.06,0.9
241,2.0,1.68,4.9,1.4,4.9,0.84
242,1.85,1.57,4.97,1.43,4.75,0.78
243,1.67,1.47,5.01,1.46,4.6,0.72
244,1.5,1.37,5.04,1.5,4.46,0.66
245,1.33,1.27,5.01,1.52,4.32,0.6
246,1.16,1.18,4.97,1.54,4.17,0.54
247,1.0,1.08,4.9,1.55,4.17,0.48
248,0.84,0.98,4.82,1.54,4.2,0.42
249,0.68,0.89,4.73,1.52,4.2,0.36
250,0.52,0.8,4.64,1.5,4.2,0.31
251,0.91,4.07,2.93,0.96,4.63,2.59
252,1.07,4.23,2.93,0.98,4.74,2.67
253,1.26,4.38,2.93,1.0,4.84,2.74
254,1.42,4.51,2.92,1.02,4.9,2.82
255,1.59,4.68,2.91,1.03,4.95,2.9
256,1.77,4.83,2.9,1.05,4.97,2.97
257,1.94,4.97,2.88,1.06,4.95,3.03
258,2.1,5.11,2.86,1.07,4.9,3.05
259,2.29,5.22,2.83,1.09,4.84,3.03
260,2.47,5.31,2.81,1.1,4.74,2.97
261,2.64,5.33,2.78,1.1,4.63,2.9
262,2.82,5.31,2.74,1.11,4.52,2.82
263,2.99,5.22,2.7,1.11,4.4,2.74
264,3.15,5.11,2.67,1.11,4.29,2.67
265,3.34,4.97,2.62,1.11,4.16,2.59
266,3.5,4.83,2.57,1.11,4.04,2.51
267,3.65,4.68,2.62,1.1,3.92,2.44
268,3.79,4.51,2.71,1.1,3.8,2.36
269,3.92,4.38,2.81,1.09,3.68,2.29
270,4.05,4.23,2.9,1.07,3.68,2.21
271,4.13,4.07,3.0,1.06,3.8,2.14
272,4.21,3.93,3.08,1.05,3.9,2.08
273,4.23,3.79,3.18,1.03,4.01,2.01
274,4.26,3.65,3.27,1.02,4.12,1.94
275,4.26,3.51,3.37,1.0,4.22,1.87
276,4.23,3.39,3.47,0.98,4.32,1.8
277,4.21,3.25,3.55,0.96,4.4,1.73
278,4.13,3.12,3.65,0.97,4.48,1.66
279,4.05,3.01,3.75,1.0,4.63,1.6
280,3.92,2.88,3.84,1.03,4.79,1.53
281,3.79,2.76,3.94,1.06,4.95,1.47
282,3.65,2.64,4.04,1.1,5.13,1.4
283,3.5,2.52,4.13,1.13,5.3,1.34
284,3.34,2.42,4.22,1.16,5.51,1.27
285,3.15,2.3,4.32,1.19,5.7,1.21
286,2.99,2.19,4.41,1.22,5.8,1.15
287,2.82,2.08,4.49,1.25,5.7,1.09
288,2.64,1.97,4.58,1.29,5.51,1.02
289,2.47,1.87,4.67,1.32,5.3,0.96
290,2.29,1.76,4.74,1.35,5.13,0.9
291,2.1,1.66,4.82,1.38,4.95,0.84
292,1.94,1.55,4.87,1.41,4.79,0.78
293,1.77,1.46,4.91,1.44,4.63,0.72
294,1.59,1.36,4.93,1.46,4.48,0.66
295,1.42,1.26,4.91,1.48,4.33,0.6
296,1.26,1.17,4.87,1.5,4.27,0.54
297,1.07,1.07,4.82,1.5,4.32,0.48
298,0.91,0.97,4.74,1.5,4.33,0.43
299,0.75,0.88,4.67,1.48,4.34,0.37
300,0.58,0.79,4.58,1.46,4.33,0.31
301,0.96,4.01,3.02,0.98,4.74,2.6
302,1.15,4.15,3.02,1.0,4.85,2.68
303,1.31,4.29,3.02,1.02,4.97,2.77
304,1.5,4.43,3.02,1.04,5.06,2.85
305,1.67,4.57,3.01,1.06,5.13,2.94
306,1.85,4.7,3.0,1.08,5.15,3.03
307,2.02,4.83,2.98,1.09,5.13,3.11
308,2.21,4.95,2.95,1.11,5.06,3.16
309,2.39,5.03,2.93,1.12,4.97,3.11
310,2.58,5.09,2.89,1.13,4.85,3.03
311,2.75,5.11,2.86,1.14,4.74,2.94
312,2.95,5.09,2.83,1.14,4.61,2.85
313,3.13,5.03,2.79,1.15,4.48,2.77
314,3.31,4.95,2.75,1.15,4.36,2.68
315,3.5,4.83,2.7,1.15,4.23,2.6
316,3.67,4.7,2.66,1.14,4.09,2.52
317,3.84,4.57,2.6,1.14,3.97,2.44
318,4.0,4.43,2.69,1.13,3.85,2.38
319,4.15,4.29,2.79,1.12,3.72,2.3
320,4.29,4.15,2.88,1.11,3.75,2.23
321,4.4,4.01,2.98,1.09,3.86,2.15
322,4.48,3.87,3.06,1.08,3.97,2.08
323,4.51,3.74,3.16,1.06,4.09,2.01
324,4.53,3.61,3.25,1.04,4.2,1.94
325,4.53,3.47,3.35,1.02,4.32,1.87
326,4.51,3.35,3.44,1.0,4.42,1.81
327,4.48,3.21,3.53,0.98,4.52,1.74
328,4.4,3.1,3.62,0.99,4.61,1.67
329,4.29,2.97,3.72,0.99,4.69,1.6
330,4.15,2.86,3.81,1.03,4.8,1.54
331,4.0,2.74,3.91,1.05,4.97,1.47
332,3.84,2.62,4.0,1.09,5.15,1.41
333,3.67,2.5,4.09,1.12,5.34,1.34
334,3.5,2.4,4.18,1.15,5.55,1.28
335,3.31,2.28,4.27,1.18,5.8,1.22
336,3.13,2.17,4.36,1.21,6.2,1.15
337,2.95,2.06,4.44,1.24,5.8,1.09
338,2.75,1.95,4.52,1.27,5.55,1.03
339,2.58,1.86,4.6,1.3,5.34,0.97
340,2.39,1.75,4.67,1.33,5.15,0.91
341,2.21,1.65,4.73,1.36,4.97,0.85
342,2.02,1.54,4.77,1.38,4.8,0.79
343,1.85,1.44,4.81,1.41,4.64,0.73
344,1.67,1.34,4.82,1.43,4.49,0.66
345,1.5,1.24,4.81,1.45,4.36,0.61
346,1.31,1.15,4.77,1.46,4.42,0.55
347,1.15,1.06,4.73,1.46,4.46,0.49
348,0.96,0.96,4.67,1.46,4.48,0.43
349,0.8,0.87,4.6,1.45,4.49,0.37
350,0.65,0.78,4.52,1.43,4.48,0.31
351,1.04,3.93,3.12,1.0,4.84,2.61
352,1.2,4.07,3.12,1.03,4.97,2.69
353,1.39,4.2,3.12,1.05,5.11,2.78
354,1.56,4.33,3.11,1.07,5.22,2.86
355,1.75,4.45,3.1,1.09,5.3,2.95
356,1.92,4.57,3.08,1.1,5.34,3.05
357,2.1,4.68,3.06,1.12,5.3,3.16
358,2.29,4.77,3.04,1.14,5.22,3.3
359,2.47,4.85,3.02,1.15,5.11,3.16
360,2.66,4.89,2.99,1.16,4.97,3.05
361,2.86,4.91,2.95,1.17,4.84,2.95
362,3.06,4.89,2.91,1.17,4.69,2.86
363,3.27,4.85,2.87,1.18,4.55,2.78
364,3.45,4.77,2.83,1.18,4.42,2.69
365,3.65,4.68,2.78,1.18,4.27,2.61
366,3.84,4.57,2.73,1.17,4.15,2.53
367,4.02,4.45,2.68,1.17,4.01,2.45
368,4.21,4.33,2.67,1.16,3.88,2.38
369,4.37,4.2,2.77,1.15,3.76,2.3
370,4.51,4.07,2.86,1.14,3.8,2.23
371,4.65,3.93,2.95,1.12,3.92,2.15
372,4.74,3.81,3.04,1.1,4.04,2.08
373,4.79,3.68,3.14,1.09,4.16,2.01
374,4.82,3.55,3.23,1.07,4.29,1.94
375,4.82,3.43,3.32,1.05,4.4,1.87
376,4.79,3.29,3.41,1.03,4.52,1.81
377,4.74,3.17,3.5,1.01,4.63,1.74
378,4.65,3.06,3.59,1.02,4.74,1.67
379,4.51,2.93,3.68,1.02,4.84,1.6
380,4.37,2.82,3.78,1.02,4.9,1.54
381,4.21,2.7,3.87,1.05,4.95,1.47
382,4.02,2.59,3.96,1.07,5.13,1.41
383,3.84,2.48,4.05,1.11,5.3,1.34
384,3.65,2.36,4.13,1.14,5.51,1.28
385,3.45,2.26,4.22,1.17,5.7,1.22
386,3.27,2.15,4.3,1.2,5.8,1.15
387,3.06,2.04,4.38,1.22,5.7,1.09
388,2.86,1.93,4.45,1.25,5.51,1.03
389,2.66,1.83,4.52,1.28,5.3,0.97
390,2.47,1.73,4.58,1.31,5.13,0.91
391,2.29,1.63,4.64,1.33,4.95,0.85
392,2.1,1.52,4.68,1.36,4.79,0.79
393,1.92,1.42,4.7,1.38,4.63,0.73
394,1.75,1.33,4.71,1.4,4.48,0.66
395,1.56,1.23,4.7,1.41,4.48,0.61
396,1.39,1.14,4.68,1.42,4.55,0.55
397,1.2,1.04,4.64,1.43,4.6,0.49
398,1.04,0.95,4.58,1.42,4.63,0.43
399,0.86,0.85,4.52,1.41,4.64,0.37
400,0.68,0.76,4.45,1.4,4.63,0.31
401,1.07,3.85,3.22,1.03,4.9,2.6
402,1.26,3.98,3.22,1.05,5.06,2.68
403,1.44,4.1,3.22,1.07,5.22,2.77
404,1.61,4.21,3.21,1.09,5.38,2.85
405,1.81,4.33,3.2,1.11,5.51,2.94
406,1.98,4.43,3.18,1.13,5.55,3.03
407,2.18,4.51,3.16,1.15,5.51,3.11
408,2.37,4.6,3.14,1.17,5.38,3.16
409,2.56,4.66,3.11,1.18,5.22,3.11
410,2.77,4.7,3.07,1.19,5.06,3.03
411,2.97,4.71,3.04,1.2,4.9,2.94
412,3.17,4.7,3.0,1.21,4.75,2.85
413,3.38,4.66,2.96,1.21,4.6,2.77
414,3.57,4.6,2.91,1.21,4.46,2.68
415,3.79,4.51,2.86,1.21,4.32,2.6
416,4.0,4.43,2.82,1.21,4.17,2.52
417,4.21,4.33,2.76,1.2,4.04,2.44
418,4.4,4.21,2.7,1.19,3.9,2.38
419,4.59,4.1,2.74,1.18,3.77,2.3
420,4.76,3.98,2.83,1.17,3.85,2.23
421,4.91,3.85,2.93,1.15,3.97,2.15
422,5.04,3.74,3.02,1.13,4.09,2.08
423,5.1,3.61,3.11,1.11,4.23,2.01
424,5.13,3.48,3.2,1.09,4.36,1.94
425,5.13,3.36,3.29,1.07,4.48,1.87
426,5.1,3.24,3.38,1.05,4.61,1.81
427,5.04,3.12,3.47,1.05,4.74,1.74
428,4.91,3.01,3.55,1.05,4.85,1.67
429,4.76,2.89,3.64,1.05,4.97,1.6
430,4.59,2.78,3.73,1.05,5.06,1.54
431,4.4,2.66,3.82,1.05,5.13,1.47
432,4.21,2.56,3.91,1.06,5.15,1.41
433,4.0,2.44,4.0,1.09,5.22,1.34
434,3.79,2.34,4.08,1.12,5.38,1.28
435,3.57,2.23,4.16,1.15,5.51,1.22
436,3.38,2.11,4.24,1.18,5.55,1.15
437,3.17,2.02,4.31,1.21,5.51,1.09
438,2.97,1.91,4.38,1.23,5.38,1.03
439,2.77,1.8,4.44,1.26,5.22,0.97
440,2.56,1.71,4.49,1.28,5.06,0.91
441,2.37,1.61,4.54,1.31,4.9,0.85
442,2.18,1.5,4.57,1.33,4.75,0.79
443,1.98,1.4,4.6,1.35,4.6,0.73
444,1.81,1.31,4.61,1.37,4.52,0.66
445,1.61,1.22,4.6,1.38,4.61,0.61
446,1.44,1.12,4.57,1.38,4.69,0.55
447,1.26,1.02,4.54,1.39,4.75,0.49
448,1.07,0.93,4.49,1.38,4.79,0.43
449,0.91,0.84,4.44,1.38,4.8,0.37
450,0.73,0.75,4.38,1.37,4.79,0.31
451,1.13,3.77,3.31,1.05,4.95,2.59
452,1.29,3.88,3.31,1.07,5.13,2.67
453,1.48,3.99,3.31,1.09,5.3,2.74
454,1.67,4.1,3.3,1.12,5.51,2.82
455,1.87,4.2,3.29,1.14,5.7,2.9
456,2.04,4.29,3.27,1.16,5.8,2.97
457,2.25,4.38,3.25,1.18,5.7,3.03
458,2.43,4.45,3.23,1.2,5.51,3.05
459,2.64,4.5,3.2,1.21,5.3,3.03
460,2.84,4.51,3.17,1.22,5.13,2.97
461,3.06,4.53,3.13,1.23,4.95,2.9
462,3.27,4.51,3.08,1.24,4.79,2.82
463,3.48,4.5,3.04,1.25,4.63,2.74
464,3.7,4.45,3.0,1.25,4.48,2.67
465,3.92,4.38,2.94,1.25,4.33,2.59
466,4.15,4.29,2.89,1.24,4.2,2.51
467,4.37,4.2,2.83,1.23,4.06,2.44
468,4.59,4.1,2.78,1.22,3.93,2.36
469,4.79,3.99,2.72,1.21,3.8,2.29
470,5.01,3.88,2.81,1.2,3.88,2.21
471,5.19,3.77,2.89,1.18,4.01,2.14
472,5.32,3.65,2.99,1.16,4.15,2.08
473,5.42,3.54,3.07,1.14,4.27,2.01
474,5.46,3.41,3.17,1.12,4.42,1.94
475,5.46,3.31,3.25,1.09,4.55,1.87
476,5.42,3.19,3.34,1.07,4.69,1.8
477,5.32,3.07,3.43,1.08,4.84,1.73
478,5.19,2.96,3.51,1.08,4.97,1.66
479,5.01,2.85,3.6,1.08,5.11,1.6
480,4.79,2.74,3.69,1.08,5.22,1.53
481,4.59,2.63,3.77,1.08,5.3,1.47
482,4.37,2.51,3.86,1.07,5.34,1.4
483,4.15,2.41,3.94,1.08,5.3,1.34
484,3.92,2.29,4.02,1.1,5.22,1.27
485,3.7,2.19,4.1,1.13,5.3,1.21
486,3.48,2.09,4.17,1.16,5.34,1.15
487,3.27,1.98,4.24,1.19,5.3,1.09
488,3.06,1.88,4.3,1.21,5.22,1.02
489,2.84,1.78,4.36,1.24,5.11,0.96
490,2.64,1.68,4.41,1.26,4.97,0.9
491,2.43,1.59,4.45,1.28,4.84,0.84
492,2.25,1.48,4.48,1.3,4.69,0.78
493,2.04,1.38,4.49,1.32,4.55,0.72
494,1.87,1.28,4.5,1.33,4.63,0.66
495,1.67,1.2,4.49,1.34,4.74,0.6
496,1.48,1.1,4.48,1.35,4.84,0.54
497,1.29,1.0,4.45,1.35,4.9,0.48
498,1.13,0.91,4.41,1.35,4.95,0.43
499,0.95,0.82,4.36,1.34,4.97,0.37
500,0.77,0.73,4.3,1.33,4.95,0.31
501,1.16,3.66,3.41,1.07,4.97,2.56
502,1.33,3.78,3.41,1.09,5.15,2.63
503,1.52,3.88,3.41,1.12,5.34,2.71
504,1.71,3.98,3.4,1.14,5.55,2.78
505,1.9,4.07,3.39,1.16,5.8,2.85
506,2.1,4.15,3.37,1.19,6.2,2.9
507,2.29,4.23,3.35,1.21,5.8,2.94
508,2.49,4.28,3.32,1.22,5.55,2.95
509,2.71,4.33,3.29,1.24,5.34,2.94
510,2.9,4.34,3.25,1.25,5.15,2.9
511,3.13,4.36,3.22,1.27,4.97,2.85
512,3.36,4.34,3.17,1.27,4.8,2.78
513,3.57,4.33,3.12,1.28,4.64,2.71
514,3.79,4.28,3.07,1.28,4.49,2.63
515,4.05,4.23,3.02,1.28,4.34,2.56
516,4.29,4.15,2.97,1.27,4.2,2.49
517,4.51,4.07,2.91,1.27,4.06,2.41
518,4.76,3.98,2.85,1.25,3.93,2.35
519,5.01,3.88,2.79,1.24,3.8,2.27
520,5.23,3.78,2.78,1.22,3.9,2.2
521,5.46,3.66,2.86,1.21,4.04,2.13
522,5.63,3.57,2.95,1.19,4.17,2.06
523,5.78,3.45,3.04,1.16,4.32,1.99
524,5.81,3.35,3.13,1.14,4.46,1.92
525,5.81,3.24,3.22,1.12,4.6,1.85
526,5.78,3.12,3.3,1.1,4.75,1.79
527,5.63,3.01,3.39,1.11,4.9,1.72
528,5.46,2.91,3.47,1.11,5.06,1.66
529,5.23,2.8,3.55,1.11,5.22,1.59
530,5.01,2.69,3.64,1.11,5.38,1.53
531,4.76,2.58,3.72,1.11,5.51,1.46
532,4.51,2.48,3.8,1.1,5.55,1.4
533,4.29,2.36,3.88,1.1,5.51,1.33
534,4.05,2.26,3.95,1.09,5.38,1.27
535,3.79,2.16,4.03,1.11,5.22,1.2
