id,cf1,cf2,cf3,cf4,cf5
440,0.9,6.39,5.21,7.73,1.47
441,1.41,0.68,4.8,7.23,1.19
442,1.43,0.7,10.9,4.74,1.65
443,1.97,1.14,9.55,7.07,1.81
444,1.96,0.92,6.66,6.28,1.92
445,2.81,1.23,7.74,3.61,1.74
446,2.86,1.27,7.09,6.11,2.22
447,1.83,1.04,10.24,5.58,3.28
448,4.04,1.63,9.9,7.45,3.83
449,4.89,2.11,9.84,6.36,3.21
450,3.43,2.1,7.83,7.15,3.58
451,3.49,1.76,7.76,5.22,4.23
452,4.66,1.13,8.31,6.02,4.09
453,4.85,1.86,5.78,4.15,4.98
454,6.28,2.95,4.55,5.4,5.29
455,4.56,2.84,5.35,5.38,6.11
456,6.54,3.49,7.32,5.19,4.59
457,6.32,2.48,7.56,6.47,6.44
458,7.91,3.74,7.84,3.7,4.78
459,7.65,3.21,7.94,3.89,6.4
460,6.5,5.66,7.38,6.6,7.13
461,6.56,3.29,9.89,7.03,8.67
462,6.94,4.6,5.29,6.22,5.12
463,6.41,3.98,11.45,7.34,7.65
464,7.13,3.73,10.29,6.46,3.88
465,5.51,5.27,9.26,8.1,6.65
466,5.33,4.62,5.1,5.41,4.38
467,3.9,8.21,7.94,4.52,5.67
468,4.47,6.29,8.68,9.39,3.89
469,4.83,5.84,8.62,5.67,3.63
470,4.33,7.1,6.7,12.4,4.7
471,2.91,6.15,6.7,10.37,4.04
472,2.21,7.73,5.85,9.52,3.46
473,3.04,5.19,6.94,8.22,3.14
474,4.0,6.63,4.97,4.85,2.33
475,1.98,9.48,5.76,7.03,3.06
476,2.26,5.88,7.26,8.46,2.03
477,1.9,6.66,5.35,7.93,2.04
478,2.45,5.82,7.59,7.63,1.68
479,0.98,4.96,6.76,6.93,1.13
480,1.54,7.31,5.15,8.56,1.91
481,0.84,0.55,9.46,4.5,0.94
482,1.96,0.58,11.53,6.27,1.19
483,1.54,1.02,9.21,6.99,1.38
484,1.81,1.26,5.87,5.99,2.4
485,2.1,1.22,6.84,3.35,1.67
486,1.93,0.79,9.69,4.46,3.79
487,3.29,1.18,8.61,7.94,1.54
488,3.79,1.37,8.31,6.15,2.85
489,3.48,1.48,9.57,7.07,3.34
490,2.85,1.33,7.45,5.31,3.55
491,3.09,2.03,8.94,6.15,4.41
492,4.66,1.9,8.65,3.86,4.55
493,5.67,2.67,6.69,4.7,4.21
494,5.17,2.35,7.04,6.17,4.86
495,4.77,3.55,6.2,4.92,4.6
496,4.76,2.01,4.98,4.96,4.85
497,5.69,2.74,7.63,4.73,7.3
498,4.79,3.31,7.04,7.22,5.43
499,8.26,2.85,7.75,6.57,5.87
500,7.86,3.84,6.28,4.9,5.4
501,6.71,4.51,7.01,5.4,5.91
502,6.79,5.04,6.22,5.17,5.12
503,7.23,4.5,11.02,8.88,6.43
504,4.26,5.68,8.73,6.29,4.91
505,5.25,4.65,7.38,6.91,4.7
506,7.49,5.73,5.61,6.69,4.26
507,5.26,4.88,7.01,7.8,5.75
508,3.59,4.67,6.0,7.08,3.67
509,4.21,3.91,6.08,8.15,4.04
510,4.33,5.55,8.49,9.83,4.15
511,3.27,6.52,7.31,9.58,3.47
512,3.67,6.57,5.62,6.38,4.02
513,2.62,3.47,3.75,9.26,2.02
514,3.4,7.16,5.94,9.8,2.34
515,2.49,6.01,6.22,8.66,1.8
516,1.97,6.17,4.82,8.53,1.73
517,1.54,5.33,5.35,8.42,2.57
518,2.03,6.02,3.74,6.95,1.86
519,1.56,5.55,5.24,7.36,1.27
520,1.21,7.26,6.14,6.73,1.22
521,1.47,0.41,6.57,6.18,0.97
522,1.67,0.94,9.51,6.83,1.31
523,1.41,0.99,7.11,5.25,1.11
524,1.33,1.01,9.13,6.3,1.91
525,1.59,1.21,10.79,6.2,1.92
526,1.87,0.9,9.71,5.56,1.88
527,2.15,1.06,8.31,6.6,2.01
528,3.81,1.64,7.84,6.62,2.75
529,3.52,2.3,8.48,5.82,3.07
530,3.96,2.07,7.34,6.3,3.79
531,4.05,2.34,7.26,3.93,3.9
532,5.71,2.85,6.9,6.04,4.0
533,3.47,2.7,4.48,6.65,2.64
534,5.36,2.03,7.75,3.85,4.97
535,4.08,3.11,5.98,4.3,5.66
536,4.39,4.18,8.34,5.58,6.31
537,4.84,3.21,8.57,6.36,4.63
538,4.85,2.6,5.39,6.45,6.68
539,7.28,3.7,6.49,5.46,5.87
540,6.17,2.48,5.86,8.37,6.13
541,5.81,3.15,6.6,5.58,4.19
542,6.41,3.24,5.92,8.11,5.37
543,3.85,4.17,9.91,7.52,6.25
544,6.65,5.19,5.45,7.43,3.28
545,5.72,4.39,9.01,6.24,6.56
546,3.93,7.13,7.88,8.49,2.92
547,4.73,4.9,9.12,7.5,5.19
548,3.56,3.49,8.3,10.11,2.49
549,3.97,6.55,6.04,9.24,2.39
550,3.17,5.33,5.98,9.41,4.21
551,3.07,3.36,7.91,11.45,3.21
552,1.92,5.31,5.01,6.35,2.55
553,3.0,3.14,7.21,9.29,3.79
554,3.36,5.18,7.14,6.53,2.2
555,2.68,6.62,6.0,7.53,2.56
556,2.56,7.75,6.52,8.86,1.33
557,1.82,6.36,5.68,5.7,1.6
558,1.04,6.43,5.52,4.21,1.58
559,1.93,6.69,4.67,10.51,1.29
560,1.68,4.38,5.71,7.62,1.56
561,1.27,0.5,7.16,7.86,1.23
562,1.0,0.63,10.4,3.62,1.21
563,1.95,0.58,8.76,9.37,1.16
564,1.34,0.97,5.3,7.44,2.07
565,1.96,0.75,8.92,5.1,2.17
566,2.42,1.51,10.59,6.57,2.43
567,3.23,1.27,9.66,5.56,3.33
568,3.46,1.37,11.02,5.8,3.73
569,3.54,1.97,5.43,5.82,3.67
570,3.26,2.92,9.04,5.67,3.01
571,2.91,0.91,6.73,6.23,3.9
572,3.53,2.13,5.26,6.19,5.69
573,3.65,2.29,7.21,3.55,3.87
574,5.24,2.8,8.86,3.91,4.06
575,5.12,2.44,7.51,3.09,3.48
576,3.0,2.87,7.03,4.2,4.79
577,5.52,2.96,9.47,4.64,5.28
578,5.94,2.9,7.97,5.74,5.61
579,5.84,2.47,4.86,4.73,6.77
580,5.47,5.09,8.82,4.12,5.42
581,5.28,4.93,6.46,6.29,6.78
582,5.64,3.81,4.68,6.42,6.73
583,6.51,3.16,8.62,7.31,5.02
584,6.95,5.77,6.28,7.95,5.36
585,6.4,3.32,7.8,7.02,5.46
586,5.77,4.63,5.96,6.93,5.78
587,4.9,4.97,7.2,8.49,4.01
588,4.42,4.88,6.86,9.51,4.91
589,4.57,6.16,7.29,8.82,2.93
590,3.17,5.39,5.2,10.94,4.33
591,4.1,4.61,6.24,8.58,2.42
592,2.85,6.4,5.98,9.35,3.86
593,2.27,5.34,5.33,7.67,3.36
594,2.63,4.06,5.03,10.01,2.94
595,2.4,6.3,6.09,7.47,2.3
596,2.14,6.3,5.06,6.44,3.39
597,1.46,5.17,5.47,7.13,1.29
598,1.6,5.49,4.37,3.45,1.26
599,1.69,6.28,4.76,6.25,1.08
600,1.1,6.81,4.39,6.41,1.57
601,1.24,0.26,7.67,5.95,1.19
602,1.4,0.63,5.53,5.76,1.12
603,2.21,0.85,9.46,4.73,2.32
604,1.85,0.78,10.47,6.29,2.3
605,1.56,1.11,7.8,5.83,1.71
606,1.97,1.39,8.72,7.12,2.27
607,2.29,1.45,9.06,7.22,3.13
608,3.01,1.61,5.85,7.05,2.71
609,3.99,2.14,10.29,3.67,3.07
610,3.6,1.68,8.64,7.92,3.67
611,3.76,1.89,9.82,9.07,3.43
612,3.7,2.5,6.51,5.63,4.02
613,3.72,2.24,8.41,4.24,4.6
614,5.87,2.85,5.06,5.55,4.55
615,5.59,2.08,5.57,7.29,4.51
616,4.3,3.71,7.84,6.1,5.42
617,4.84,3.29,7.65,5.47,5.51
618,3.95,4.45,6.32,5.73,4.68
619,5.16,3.0,4.21,5.09,3.92
620,5.84,3.65,5.41,4.55,5.5
621,6.88,2.52,8.91,5.61,4.3
622,6.5,4.19,5.71,4.44,5.32
623,4.59,3.09,7.47,5.69,4.17
624,5.08,4.76,6.58,7.0,2.55
625,6.24,4.43,6.72,6.83,5.38
626,4.28,6.03,7.65,6.27,4.83
627,3.69,3.11,8.02,6.88,4.13
628,3.01,6.55,9.03,5.74,4.88
629,5.73,3.93,4.1,6.68,4.53
630,4.13,3.88,8.43,7.08,2.33
631,3.75,6.86,7.19,8.35,3.78
632,3.44,6.27,6.53,7.62,3.64
633,2.61,5.96,6.84,8.63,3.09
634,2.87,5.95,5.43,7.77,2.53
