id,m_cf1,m_cf2,m_cf3
291,0.87,2.43,2.3
292,0.8,2.22,2.18
293,0.74,2.01,2.06
294,0.67,1.82,1.93
295,0.61,1.61,1.79
296,0.55,1.41,1.68
297,0.49,1.22,1.55
298,0.42,1.03,1.41
299,0.37,0.84,1.3
300,0.31,0.68,1.18
301,1.65,1.55,1.33
302,1.67,1.75,1.41
303,1.68,1.94,1.48
304,1.67,2.13,1.55
305,1.65,2.33,1.61
306,1.6,2.52,1.72
307,1.55,2.71,1.84
308,1.48,2.86,1.95
309,1.41,2.97,2.06
310,1.34,3.02,2.16
311,1.27,3.02,2.23
312,1.2,2.97,2.28
313,1.12,2.86,2.3
314,1.05,2.71,2.28
315,0.98,2.52,2.23
316,0.91,2.33,2.16
317,0.84,2.13,2.06
318,0.76,1.94,1.95
319,0.7,1.75,1.84
320,0.64,1.55,1.72
321,0.57,1.37,1.61
322,0.51,1.18,1.48
323,0.44,0.99,1.36
324,0.39,0.83,1.24
325,0.32,0.65,1.13
326,1.76,1.49,1.23
327,1.8,1.67,1.3
328,1.81,1.84,1.36
329,1.8,2.03,1.41
330,1.76,2.2,1.52
331,1.71,2.36,1.63
332,1.64,2.52,1.74
333,1.56,2.64,1.84
334,1.48,2.74,1.93
335,1.4,2.76,2.01
336,1.32,2.76,2.08
337,1.24,2.74,2.11
338,1.16,2.64,2.13
339,1.08,2.52,2.11
340,1.01,2.36,2.08
341,0.94,2.2,2.01
342,0.86,2.03,1.93
343,0.79,1.84,1.84
344,0.72,1.67,1.74
345,0.66,1.49,1.63
346,0.59,1.3,1.52
347,0.53,1.12,1.41
348,0.46,0.96,1.3
349,0.4,0.77,1.19
350,0.34,0.59,1.08
351,1.88,1.39,1.13
352,1.93,1.57,1.19
353,1.95,1.73,1.24
354,1.93,1.9,1.33
355,1.88,2.05,1.44
356,1.81,2.2,1.54
357,1.72,2.33,1.63
358,1.64,2.43,1.72
359,1.55,2.5,1.79
360,1.45,2.52,1.87
361,1.37,2.52,1.92
362,1.29,2.5,1.95
363,1.2,2.43,1.96
364,1.12,2.33,1.95
365,1.04,2.2,1.92
366,0.96,2.05,1.87
367,0.88,1.9,1.79
368,0.82,1.73,1.72
369,0.74,1.57,1.63
370,0.67,1.39,1.54
371,0.61,1.22,1.44
372,0.54,1.05,1.33
373,0.48,0.88,1.23
374,0.41,0.72,1.13
375,0.35,0.54,1.02
376,2.01,1.3,1.02
377,2.07,1.45,1.08
378,2.1,1.61,1.16
379,2.07,1.75,1.26
380,2.01,1.9,1.35
381,1.92,2.03,1.44
382,1.81,2.13,1.52
383,1.71,2.22,1.61
384,1.6,2.27,1.68
385,1.5,2.29,1.74
386,1.41,2.29,1.78
387,1.31,2.27,1.79
388,1.23,2.22,1.81
389,1.14,2.13,1.79
390,1.06,2.03,1.78
391,0.98,1.9,1.74
392,0.91,1.75,1.68
393,0.83,1.61,1.61
394,0.76,1.45,1.52
395,0.69,1.3,1.44
396,0.62,1.12,1.35
397,0.56,0.97,1.26
398,0.49,0.81,1.16
399,0.42,0.65,1.06
400,0.36,0.48,0.96
401,2.14,1.18,0.91
402,2.25,1.34,0.98
403,2.29,1.47,1.07
404,2.25,1.61,1.17
405,2.14,1.73,1.26
406,2.01,1.84,1.33
407,1.88,1.94,1.41
408,1.76,2.01,1.48
409,1.65,2.05,1.55
410,1.54,2.07,1.59
411,1.44,2.07,1.63
412,1.34,2.05,1.65
413,1.25,2.01,1.66
414,1.16,1.94,1.65
415,1.08,1.84,1.63
416,0.99,1.73,1.59
417,0.92,1.61,1.55
418,0.85,1.47,1.48
419,0.77,1.34,1.41
420,0.7,1.18,1.33
421,0.63,1.03,1.26
422,0.56,0.88,1.17
423,0.5,0.72,1.07
424,0.43,0.56,0.98
425,0.37,0.4,0.89
426,2.25,1.07,0.82
427,2.42,1.2,0.9
428,2.53,1.34,1.0
429,2.42,1.45,1.07
430,2.25,1.57,1.16
431,2.07,1.67,1.23
432,1.93,1.75,1.3
433,1.8,1.82,1.36
434,1.67,1.84,1.41
435,1.56,1.86,1.47
436,1.45,1.86,1.49
437,1.35,1.84,1.52
438,1.27,1.82,1.52
439,1.18,1.75,1.52
440,1.09,1.67,1.49
441,1.01,1.57,1.47
442,0.93,1.45,1.41
443,0.85,1.34,1.36
444,0.78,1.2,1.3
445,0.71,1.07,1.23
446,0.64,0.92,1.16
447,0.57,0.77,1.07
448,0.5,0.63,1.0
449,0.44,0.47,0.9
450,0.37,0.33,0.82
451,2.29,0.94,0.74
452,2.53,1.07,0.82
453,3.1,1.18,0.9
454,2.53,1.3,0.98
455,2.29,1.39,1.06
456,2.1,1.49,1.13
457,1.95,1.55,1.19
458,1.81,1.61,1.24
459,1.68,1.63,1.3
460,1.57,1.65,1.33
461,1.46,1.65,1.36
462,1.36,1.63,1.39
463,1.27,1.61,1.39
464,1.18,1.55,1.39
465,1.09,1.49,1.36
466,1.01,1.39,1.33
467,0.93,1.3,1.3
468,0.85,1.18,1.24
469,0.78,1.07,1.19
470,0.71,0.94,1.13
471,0.64,0.79,1.06
472,0.57,0.66,0.98
473,0.5,0.52,0.9
474,0.44,0.38,0.82
475,0.37,0.24,0.74
476,2.25,0.79,0.66
477,2.42,0.92,0.74
478,2.53,1.03,0.82
479,2.42,1.12,0.89
480,2.25,1.22,0.96
481,2.07,1.3,1.02
482,1.93,1.37,1.08
483,1.8,1.41,1.13
484,1.67,1.45,1.18
485,1.56,1.45,1.21
486,1.45,1.45,1.23
487,1.35,1.45,1.26
488,1.27,1.41,1.26
489,1.18,1.37,1.26
490,1.09,1.3,1.23
491,1.01,1.22,1.21
492,0.93,1.12,1.18
493,0.85,1.03,1.13
494,0.78,0.92,1.08
495,0.71,0.79,1.02
496,0.64,0.68,0.96
497,0.57,0.54,0.89
498,0.5,0.41,0.82
499,0.44,0.27,0.74
500,0.37,0.14,0.66
