id,m_cf1,m_cf2,m_cf3,m_cf4,m_cf5,m_cf6,m_cf7,m_cf8,m_cf9,m_cf10
245,1.32,1.24,8.67,3.84,76.0,0.3,9.87,9.0,4.72,4.99
246,1.2,1.13,8.01,3.6,75.37,0.28,9.82,8.84,4.5,4.85
247,1.06,1.01,7.25,3.36,74.53,0.27,9.76,8.69,4.28,4.72
248,0.95,0.9,6.56,3.14,73.68,0.26,9.7,8.53,4.06,4.56
249,0.81,0.78,5.75,2.9,72.63,0.24,9.63,8.36,3.85,4.42
250,0.7,0.67,5.02,2.66,71.37,0.23,9.55,8.21,3.63,4.26
251,1.93,1.75,11.54,5.3,11.16,0.48,9.49,5.52,3.42,7.64
252,2.07,1.85,12.09,5.52,13.26,0.49,9.53,5.52,3.63,7.84
253,2.19,1.95,12.55,5.76,15.16,0.5,9.56,5.5,3.85,8.04
254,2.33,2.06,13.07,5.97,17.26,0.51,9.6,5.48,4.06,8.21
255,2.45,2.15,13.5,6.21,19.37,0.52,9.61,5.47,4.28,8.41
256,2.58,2.24,13.93,6.43,21.26,0.53,9.63,5.43,4.5,8.61
257,2.7,2.34,14.33,6.67,23.37,0.54,9.63,5.4,4.72,8.8
258,2.82,2.42,14.67,6.88,25.47,0.54,9.63,5.36,4.94,9.0
259,2.93,2.5,15.0,7.1,27.37,0.54,9.61,5.31,5.17,9.19
260,3.04,2.58,15.32,7.31,29.47,0.54,9.6,5.26,5.4,9.37
261,3.14,2.65,15.57,7.53,31.37,0.54,9.56,5.19,5.63,9.57
262,3.24,2.72,15.82,7.75,33.47,0.53,9.53,5.16,5.86,9.72
263,3.32,2.77,16.02,7.94,35.37,0.52,9.49,5.33,6.1,9.8
264,3.4,2.82,16.21,8.13,37.47,0.51,9.44,5.5,6.34,9.72
265,3.48,2.88,16.39,8.3,39.37,0.53,9.39,5.67,6.59,9.57
266,3.55,2.92,16.53,8.47,41.26,0.54,9.32,5.84,6.84,9.37
267,3.59,2.94,16.62,8.61,43.37,0.56,9.26,6.02,7.1,9.19
268,3.63,2.97,16.7,8.71,45.26,0.57,9.17,6.19,7.36,9.0
269,3.65,2.98,16.75,8.78,47.16,0.59,9.09,6.36,7.62,8.8
270,3.65,2.98,16.75,8.8,49.05,0.6,8.99,6.53,7.9,8.61
271,3.65,2.98,16.75,8.78,50.95,0.61,8.89,6.71,8.18,8.41
272,3.65,2.98,16.75,8.71,52.84,0.61,8.92,6.88,8.48,8.21
273,3.65,2.98,16.75,8.61,54.74,0.62,9.04,7.05,8.79,8.04
274,3.63,2.97,16.7,8.47,56.63,0.61,9.16,7.22,9.13,7.84
275,3.59,2.94,16.62,8.3,58.53,0.61,9.27,7.4,9.5,7.64
276,3.55,2.92,16.53,8.13,60.21,0.6,9.37,7.57,10.0,7.45
277,3.48,2.88,16.39,7.94,62.11,0.59,9.46,7.72,9.5,7.25
278,3.4,2.82,16.21,7.75,63.79,0.57,9.55,7.9,9.13,7.05
279,3.32,2.77,16.02,7.53,65.47,0.56,9.63,8.07,8.79,6.86
280,3.24,2.72,15.82,7.31,67.16,0.54,9.69,8.24,8.48,6.66
281,3.14,2.65,15.57,7.1,68.63,0.53,9.75,8.41,8.18,6.56
282,3.04,2.58,15.32,6.88,70.32,0.51,9.81,8.59,7.9,6.52
283,2.93,2.5,15.0,6.67,71.58,0.49,9.86,8.74,7.62,6.46
284,2.82,2.42,14.67,6.43,73.05,0.48,9.9,8.91,7.36,6.39
285,2.7,2.34,14.33,6.21,74.32,0.46,9.94,9.07,7.1,6.31
286,2.58,2.24,13.93,5.97,75.37,0.44,9.96,9.22,6.84,6.23
287,2.45,2.15,13.5,5.76,76.42,0.43,9.98,9.38,6.59,6.13
288,2.33,2.06,13.07,5.52,77.26,0.41,9.99,9.52,6.34,6.03
289,2.19,1.95,12.55,5.3,78.11,0.39,10.0,9.62,6.1,5.91
290,2.07,1.85,12.09,5.06,78.53,0.38,9.99,9.66,5.86,5.8
291,1.93,1.75,11.54,4.82,78.95,0.36,9.98,9.62,5.63,5.68
292,1.8,1.64,10.97,4.58,78.95,0.35,9.96,9.52,5.4,5.54
293,1.67,1.53,10.38,4.36,78.95,0.33,9.94,9.38,5.17,5.42
294,1.54,1.42,9.77,4.12,78.53,0.32,9.9,9.22,4.94,5.28
295,1.4,1.3,9.07,3.88,78.11,0.3,9.86,9.07,4.72,5.13
296,1.28,1.2,8.43,3.65,77.26,0.29,9.81,8.91,4.5,4.99
297,1.14,1.08,7.68,3.41,76.42,0.27,9.75,8.74,4.28,4.85
298,1.02,0.97,6.99,3.19,75.37,0.26,9.69,8.59,4.06,4.7
299,0.89,0.85,6.2,2.95,74.32,0.25,9.63,8.41,3.85,4.54
300,0.75,0.73,5.39,2.71,73.05,0.23,9.55,8.24,3.63,4.38
301,2.04,1.83,11.95,5.35,11.58,0.5,9.56,5.69,3.42,7.6
302,2.17,1.94,12.49,5.59,13.68,0.51,9.6,5.69,3.63,7.8
303,2.31,2.04,13.0,5.8,15.79,0.52,9.64,5.67,3.85,8.0
304,2.43,2.14,13.44,6.04,17.68,0.53,9.66,5.66,4.06,8.19
305,2.58,2.24,13.93,6.28,19.79,0.55,9.68,5.64,4.28,8.39
306,2.7,2.34,14.33,6.5,21.89,0.55,9.69,5.6,4.5,8.57
307,2.83,2.43,14.73,6.74,24.0,0.56,9.7,5.57,4.72,8.76
308,2.97,2.53,15.11,6.98,25.89,0.56,9.69,5.52,4.94,8.94
309,3.08,2.61,15.42,7.19,28.0,0.56,9.68,5.48,5.17,9.12
310,3.2,2.69,15.72,7.41,30.11,0.56,9.66,5.41,5.4,9.29
311,3.32,2.77,16.02,7.65,32.0,0.56,9.64,5.36,5.63,9.45
312,3.42,2.84,16.25,7.87,34.11,0.55,9.6,5.29,5.86,9.57
313,3.5,2.89,16.44,8.06,36.0,0.55,9.56,5.34,6.1,9.61
314,3.61,2.96,16.66,8.27,38.11,0.53,9.51,5.52,6.34,9.57
315,3.67,3.0,16.79,8.47,40.0,0.54,9.46,5.69,6.59,9.45
316,3.74,3.04,16.92,8.63,42.11,0.56,9.4,5.86,6.84,9.29
317,3.8,3.08,17.04,8.8,44.0,0.58,9.32,6.03,7.07,9.12
318,3.84,3.1,17.13,8.92,46.11,0.59,9.25,6.21,7.33,8.94
319,3.87,3.12,17.17,9.02,48.0,0.61,9.16,6.38,7.6,8.76
320,3.87,3.12,17.17,9.04,49.89,0.62,9.07,6.55,7.87,8.57
321,3.87,3.12,17.17,9.02,52.0,0.64,8.97,6.72,8.16,8.39
322,3.87,3.12,17.17,8.92,53.89,0.64,8.91,6.9,8.45,8.19
323,3.87,3.12,17.17,8.8,55.79,0.64,9.03,7.07,8.73,8.0
324,3.84,3.1,17.13,8.63,57.68,0.64,9.15,7.24,9.06,7.8
325,3.8,3.08,17.04,8.47,59.58,0.64,9.26,7.41,9.34,7.6
326,3.74,3.04,16.92,8.27,61.26,0.62,9.35,7.59,9.5,7.41
327,3.67,3.0,16.79,8.06,63.16,0.61,9.44,7.76,9.34,7.23
328,3.61,2.96,16.66,7.87,65.05,0.59,9.53,7.93,9.06,7.03
329,3.5,2.89,16.44,7.65,66.74,0.58,9.61,8.1,8.73,6.84
330,3.42,2.84,16.25,7.41,68.42,0.56,9.68,8.28,8.45,6.8
