id,cf1,cf2,cf3,cf4,cf5,cf6,cf7,cf8,cf9,cf10
216,4.8,2.35,15.22,7.3,29.03,0.57,9.05,6.07,6.85,8.41
217,3.84,2.99,13.26,8.5,29.79,0.48,8.82,6.93,6.08,9.97
218,4.6,1.93,14.35,7.13,36.72,0.54,10.22,7.09,6.01,9.93
219,4.02,3.36,19.0,9.04,41.8,0.53,9.29,5.66,6.23,7.55
220,3.97,2.73,17.18,8.2,35.96,0.54,7.1,6.99,6.14,8.16
221,3.71,2.25,17.29,7.16,67.5,0.64,7.46,5.6,7.48,9.43
222,3.77,2.47,16.77,10.07,45.6,0.58,8.76,5.71,9.49,10.85
223,5.7,3.2,19.44,8.53,59.39,0.6,10.75,6.33,8.49,7.4
224,4.25,3.74,16.53,9.25,65.59,0.49,9.94,6.71,8.56,5.79
225,4.3,3.1,16.99,7.78,66.1,0.64,9.84,6.7,8.99,7.81
226,5.04,3.46,16.87,6.42,76.4,0.45,9.26,6.94,9.04,7.97
227,3.17,2.97,17.53,8.51,81.28,0.55,10.44,6.0,8.57,7.45
228,2.98,3.18,12.67,6.92,42.63,0.51,9.15,5.67,9.13,7.81
229,2.01,2.71,17.42,7.33,60.36,0.42,9.25,9.08,9.63,7.5
230,2.72,3.46,12.2,7.9,53.78,0.54,9.5,8.27,9.04,7.63
231,3.04,1.77,13.62,7.49,52.98,0.39,10.57,7.65,8.07,6.55
232,2.99,2.81,16.22,6.16,50.44,0.36,8.22,8.5,6.53,5.71
233,3.65,2.43,13.05,7.05,63.57,0.48,10.26,7.8,6.42,7.14
234,3.8,2.93,14.18,5.84,54.26,0.47,10.98,6.6,8.01,6.82
235,2.4,2.46,17.3,5.49,79.13,0.56,11.32,8.77,5.32,5.71
236,1.52,2.06,16.98,4.43,72.87,0.6,10.11,8.32,5.96,6.67
237,2.59,2.09,12.03,5.63,74.45,0.42,9.78,9.97,6.83,5.97
238,2.93,2.97,13.05,5.67,86.93,0.31,9.04,9.52,5.87,5.09
239,2.94,1.76,12.02,5.09,91.74,0.45,10.65,9.52,6.45,5.01
240,1.9,2.0,14.67,5.98,94.81,0.37,8.44,9.16,6.96,6.53
241,0.93,1.48,8.77,5.47,80.24,0.52,9.71,8.8,5.05,3.94
242,2.48,1.31,10.86,4.59,53.3,0.3,8.78,7.82,6.51,6.25
243,0.82,1.44,9.69,5.16,83.36,0.3,9.27,9.77,5.32,4.53
244,0.7,1.56,8.83,4.1,81.77,0.38,9.62,8.48,4.96,3.95
245,0.93,1.06,7.82,4.97,70.6,0.24,8.28,9.29,6.41,3.77
246,1.31,1.32,9.39,4.05,68.61,0.21,9.58,10.03,5.83,4.73
247,0.0,1.56,5.74,5.3,80.41,0.13,9.0,8.97,4.39,5.47
248,1.55,0.87,5.65,2.6,78.4,0.41,9.26,8.17,3.68,4.64
249,0.47,0.67,8.74,3.98,68.25,0.26,9.7,7.67,3.62,3.1
250,0.74,0.0,6.34,3.48,81.87,0.32,8.83,7.62,2.32,5.18
251,1.9,1.75,11.99,7.28,8.78,0.47,10.21,4.07,2.92,7.83
252,1.95,0.95,11.2,5.63,5.8,0.38,10.38,3.34,3.8,7.92
253,1.65,2.14,15.12,5.18,17.46,0.28,9.94,5.31,3.59,7.43
254,0.92,2.11,11.58,7.13,20.58,0.55,9.27,3.39,3.26,8.46
255,2.79,2.44,15.12,4.89,25.45,0.49,9.99,5.32,3.81,7.49
256,5.22,2.57,11.82,6.59,17.06,0.41,8.71,4.76,4.48,9.66
257,1.88,1.58,15.91,6.89,31.1,0.48,9.03,3.92,4.16,9.5
258,3.6,3.38,13.5,5.06,34.31,0.62,9.5,5.31,3.84,7.49
259,2.91,2.56,11.2,7.14,20.11,0.53,7.57,5.88,4.19,9.65
260,2.46,2.74,17.17,6.86,36.37,0.36,10.53,6.21,7.4,9.03
261,3.41,2.13,15.22,5.22,16.28,0.6,9.09,5.34,5.32,10.96
262,2.53,2.47,15.62,8.7,42.64,0.49,9.32,6.96,4.47,9.54
263,4.09,2.53,15.09,6.96,32.76,0.59,9.34,4.94,6.83,9.56
264,3.52,2.65,17.24,8.1,55.16,0.43,9.14,5.1,6.16,12.05
265,4.53,2.77,14.01,7.29,23.02,0.66,9.17,6.17,6.13,8.0
266,2.42,2.87,16.65,6.49,47.19,0.45,8.1,5.57,6.08,11.1
267,4.86,2.2,16.44,8.09,31.02,0.58,10.49,5.28,7.69,9.73
268,2.88,3.21,16.81,10.1,42.91,0.43,7.77,6.54,6.89,9.15
269,2.34,3.66,19.96,7.35,40.48,0.38,6.56,5.14,8.87,8.86
270,2.34,2.97,17.82,9.94,47.16,0.49,7.46,5.92,7.61,9.26
271,2.81,2.78,16.89,7.63,47.72,0.47,10.39,6.04,6.9,8.29
272,4.26,3.27,13.65,7.52,49.66,0.51,8.06,6.79,8.97,7.74
273,2.25,2.58,13.36,7.74,64.11,0.55,9.07,6.11,9.57,7.38
274,4.56,2.71,14.47,8.29,47.28,0.62,8.86,6.19,9.69,9.79
275,3.18,3.61,19.34,7.32,58.2,0.74,9.83,8.75,11.06,6.8
276,2.39,2.33,16.25,8.43,62.83,0.7,8.97,6.89,10.31,7.91
277,3.61,2.97,19.26,8.73,55.65,0.5,10.65,10.97,12.29,7.91
278,3.79,2.82,16.26,9.17,56.95,0.62,9.53,10.0,10.72,6.39
279,2.44,2.18,13.47,5.84,54.23,0.59,9.07,9.37,9.58,4.99
280,2.73,2.1,15.1,7.77,53.19,0.63,9.04,8.63,8.79,6.14
281,0.87,2.23,15.04,9.11,75.6,0.34,10.34,7.37,6.66,7.62
282,3.9,3.53,16.7,6.76,75.88,0.58,9.73,7.89,8.38,5.05
283,2.42,2.34,16.13,6.67,61.85,0.55,9.04,8.9,8.3,6.29
284,2.65,2.82,16.91,7.87,93.62,0.46,10.93,8.63,6.51,7.76
285,1.24,3.19,12.96,6.5,71.51,0.58,10.07,6.42,7.2,5.71
286,4.62,2.11,10.96,3.86,63.55,0.64,10.11,8.45,7.24,6.35
287,2.33,2.46,12.28,5.19,56.72,0.33,10.3,10.39,4.69,8.73
288,1.64,1.78,12.63,5.84,84.25,0.41,6.99,7.89,7.8,6.06
289,0.32,1.26,10.23,5.17,82.23,0.46,12.18,9.63,6.05,5.56
290,1.46,2.04,14.78,6.77,79.31,0.4,9.61,9.4,7.4,7.03
291,2.01,1.19,11.01,4.13,56.91,0.3,9.16,9.48,7.1,6.66
292,0.86,1.63,13.2,3.05,75.65,0.18,10.79,9.14,5.29,5.41
293,2.24,1.07,13.55,4.48,64.75,0.42,10.56,8.49,5.13,5.23
294,0.63,1.3,10.68,3.51,90.69,0.16,8.26,8.87,6.29,6.0
295,2.22,1.72,11.41,2.79,70.54,0.33,11.65,8.5,4.88,4.16
296,1.23,1.28,11.51,4.31,68.55,0.32,9.38,8.33,4.16,4.49
297,0.92,0.06,4.72,2.09,63.82,0.39,8.38,9.1,3.46,4.21
298,2.42,0.71,6.77,2.49,72.96,0.39,8.41,8.83,3.28,2.93
299,0.0,1.0,7.0,3.45,70.05,0.34,9.77,10.06,3.96,4.32
300,0.03,0.2,4.46,2.39,75.74,0.0,10.16,8.87,2.84,5.62
301,0.51,1.89,8.61,3.96,0.0,0.67,9.33,4.27,4.57,6.6
302,2.65,1.28,13.16,5.53,0.0,0.44,7.39,3.31,4.17,9.34
303,1.76,2.35,14.33,6.82,15.21,0.68,9.16,4.42,5.26,7.84
304,2.0,2.74,13.98,6.03,18.36,0.57,8.87,5.6,4.2,7.92
305,2.7,2.85,13.51,6.43,21.31,0.55,12.1,5.21,5.0,9.16
306,2.06,2.56,12.39,6.01,19.97,0.45,9.29,4.46,4.37,8.36
307,3.41,2.59,13.42,5.44,38.21,0.69,9.96,3.54,4.36,7.88
308,2.68,2.62,17.63,6.64,18.51,0.54,8.96,5.59,5.71,7.46
309,2.11,2.78,14.95,6.74,28.3,0.44,9.6,5.68,6.21,8.94
310,3.23,3.09,14.17,7.55,37.36,0.61,9.42,5.46,5.4,9.62
311,4.12,3.13,15.34,7.31,35.24,0.61,9.42,4.86,4.08,8.41
312,4.01,2.69,14.35,8.77,47.85,0.43,10.97,5.55,5.8,10.3
313,3.41,2.98,15.2,7.13,36.17,0.73,10.24,5.7,7.0,9.5
314,3.96,2.74,14.11,9.14,21.63,0.41,7.06,4.78,6.05,11.51
315,3.63,3.08,16.16,8.19,48.16,0.51,8.96,5.02,7.45,8.74
316,3.25,3.08,15.54,9.52,40.65,0.62,8.51,8.61,6.2,8.72
317,4.68,2.46,16.49,10.4,52.4,0.71,7.2,3.79,5.98,9.57
318,2.06,2.54,17.79,9.83,50.21,0.55,8.85,5.51,7.12,11.86
319,3.11,3.52,18.01,8.93,44.98,0.59,8.88,5.35,7.94,8.66
320,3.42,3.3,13.99,9.7,58.42,0.72,9.43,6.02,7.08,8.91
321,4.26,3.27,17.88,8.81,65.61,0.8,8.1,6.07,8.9,8.24
322,4.66,3.01,17.47,9.1,39.98,0.72,9.07,6.69,8.4,8.11
323,4.31,3.0,15.85,8.43,55.99,0.48,7.76,7.12,8.85,7.62
324,4.56,3.28,16.05,8.82,71.18,0.67,10.2,5.55,7.01,8.23
325,4.36,3.29,16.16,8.54,49.62,0.56,8.94,8.72,8.95,8.11
326,3.31,3.17,19.84,9.72,60.2,0.8,9.12,6.75,9.37,7.51
327,4.38,2.94,13.06,5.8,63.98,0.63,9.73,7.43,7.46,7.8
328,3.21,3.24,14.31,8.3,65.34,0.72,10.69,7.0,8.17,6.29
329,3.89,2.75,14.93,8.81,73.11,0.55,9.6,7.78,9.83,6.39
330,3.7,3.05,16.79,6.12,63.52,0.51,8.09,10.6,7.98,7.47
331,2.48,2.37,14.09,7.65,69.09,0.65,10.14,6.81,7.72,7.3
