id,m_cf1,m_cf2,m_cf3
358,5.17,2.39,5.51
359,5.42,2.35,5.28
360,5.59,2.27,5.03
361,5.65,2.19,4.78
362,5.65,2.09,4.52
363,5.59,1.98,4.56
364,5.42,1.92,4.85
365,5.17,2.05,5.14
366,4.86,2.16,5.44
367,4.52,2.27,5.74
368,4.15,2.38,6.04
369,3.77,2.47,6.34
370,3.39,2.53,6.65
371,3.0,2.55,6.96
372,2.6,2.53,7.27
373,2.21,2.47,7.55
374,1.82,2.38,7.7
375,1.43,2.27,7.55
376,2.43,1.9,6.04
377,2.81,2.0,6.06
378,3.17,2.09,6.04
379,3.53,2.16,5.96
380,3.88,2.22,5.85
381,4.21,2.26,5.69
382,4.52,2.27,5.51
383,4.78,2.26,5.31
384,4.99,2.22,5.09
385,5.12,2.16,4.86
386,5.17,2.09,4.62
387,5.17,2.0,4.38
388,5.12,1.9,4.57
389,4.99,1.87,4.86
390,4.78,1.98,5.16
391,4.52,2.09,5.46
392,4.21,2.19,5.76
393,3.88,2.27,6.06
394,3.53,2.35,6.37
395,3.17,2.39,6.69
396,2.81,2.41,7.02
397,2.43,2.39,7.35
398,2.06,2.35,7.7
399,1.68,2.27,8.1
400,1.3,2.19,7.7
401,2.23,1.81,5.74
402,2.59,1.9,5.76
403,2.93,1.98,5.74
404,3.27,2.05,5.67
405,3.59,2.1,5.57
406,3.88,2.13,5.44
407,4.15,2.14,5.28
408,4.38,2.13,5.09
409,4.55,2.1,4.89
410,4.66,2.05,4.68
411,4.7,1.98,4.45
412,4.7,1.9,4.27
413,4.66,1.81,4.56
414,4.55,1.8,4.85
415,4.38,1.9,5.14
416,4.15,2.0,5.44
417,3.88,2.09,5.74
418,3.59,2.16,6.04
419,3.27,2.22,6.34
420,2.93,2.26,6.65
421,2.59,2.27,6.96
422,2.23,2.26,7.27
423,1.87,2.22,7.55
424,1.51,2.16,7.7
425,1.15,2.09,7.55
426,2.01,1.71,5.44
427,2.34,1.8,5.46
428,2.66,1.87,5.44
429,2.97,1.92,5.38
430,3.27,1.97,5.29
431,3.53,2.0,5.17
432,3.77,2.01,5.03
433,3.97,2.0,4.86
434,4.12,1.97,4.68
435,4.21,1.92,4.48
436,4.24,1.87,4.27
437,4.24,1.8,4.23
438,4.21,1.71,4.52
439,4.12,1.71,4.8
440,3.97,1.81,5.09
441,3.77,1.9,5.38
442,3.53,1.98,5.67
443,3.27,2.05,5.96
444,2.97,2.1,6.25
445,2.66,2.13,6.54
446,2.34,2.14,6.82
447,2.01,2.13,7.07
448,1.66,2.1,7.27
449,1.32,2.05,7.35
450,0.97,1.98,7.27
451,1.76,1.61,5.14
452,2.07,1.69,5.16
453,2.38,1.75,5.14
454,2.66,1.8,5.09
455,2.93,1.84,5.01
456,3.17,1.87,4.91
457,3.39,1.87,4.78
458,3.56,1.87,4.62
459,3.69,1.84,4.45
460,3.77,1.8,4.27
461,3.8,1.75,4.07
462,3.8,1.69,4.17
463,3.77,1.61,4.45
464,3.69,1.63,4.73
465,3.56,1.71,5.01
466,3.39,1.8,5.29
467,3.17,1.87,5.57
468,2.93,1.92,5.85
469,2.66,1.97,6.12
470,2.38,2.0,6.37
471,2.07,2.01,6.61
472,1.76,2.0,6.82
473,1.43,1.97,6.96
474,1.1,1.92,7.02
475,0.77,1.87,6.96
476,1.49,1.51,4.85
477,1.79,1.57,4.86
478,2.07,1.63,4.85
479,2.34,1.68,4.8
480,2.59,1.71,4.73
481,2.81,1.74,4.64
482,3.0,1.74,4.52
483,3.15,1.74,4.38
484,3.27,1.71,4.22
485,3.34,1.68,4.05
486,3.36,1.63,3.86
487,3.36,1.57,4.09
488,3.34,1.51,4.37
489,3.27,1.53,4.64
490,3.15,1.61,4.91
491,3.0,1.69,5.17
492,2.81,1.75,5.44
493,2.59,1.8,5.69
494,2.34,1.84,5.94
495,2.07,1.87,6.17
496,1.79,1.87,6.37
497,1.49,1.87,6.54
498,1.19,1.84,6.65
499,0.87,1.8,6.69
500,0.55,1.75,6.65
